--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |                     Level (eV)  |     Uncertainty (eV) |    Landé | Leading percentages                                                         | Reference
3d5.4s2               | c 4D    |  7/2 |    8 |          7.4725712              |          0.0000004   |          |  97                                  :     2  3d5.(4D).4p2            4D    | L18349,L18361c138
                      |         |  1/2 |    2 |          7.4867075              |          0.0000004   |          |  96                                  :     2  3d5.(4D).4p2            4D    | L18349,L18361c138
                      |         |  3/2 |    4 |          7.4937341              |          0.0000004   |          |  93                                  :     5  3d5.4s2                 4P    | L18349,L18361c138
                      |         |  5/2 |    6 |          7.4942595              |          0.0000004   |          |  92                                  :     6  3d5.4s2                 4P    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3P2).4p          | y 4P*   |  5/2 |    6 |          7.4889348              |          0.0000004   |    1.58  |  46                                  :    37  3d6.(3P1).4p            4P*   | L18349,L18361c138
                      |         |  1/2 |    2 |          7.5674109              |          0.0000004   |    2.613 |  52                                  :    42  3d6.(3P1).4p            4P*   | L18349,L18361c138
                      |         |  3/2 |    4 |          7.6042922              |          0.0000004   |    1.74  |  25  3d6.(3P2).4p 4S*                :    23  3d6.(3P2).4p            4P*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3H).4p           | z 4G*   | 11/2 |   12 |          7.5165973              |          0.0000004   |    1.24  |  68                                  :    23  3d6.(3F2).4p            4G*   | L18349,L18361c138
                      |         |  9/2 |   10 |          7.5391368              |          0.0000004   |    1.155 |  57                                  :    29  3d6.(3F2).4p            4G*   | L18349,L18361c138
                      |         |  7/2 |    8 |          7.5576776              |          0.0000004   |    0.969 |  53                                  :    34  3d6.(3F2).4p            4G*   | L18349,L18361c138
                      |         |  5/2 |    6 |          7.5682105              |          0.0000004   |    0.799 |  31                                  :    23  3d6.(3F2).4p            4G*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3H).4p           | z 4H*   | 13/2 |   14 |          7.5428961              |          0.0000004   |          |  51                                  :    37  3d6.(3H).4p             4I*   | L18349,L18361c138
                      |         | 11/2 |   12 |          7.5491010              |          0.0000004   |          |  47                                  :    40  3d6.(3H).4p             4I*   | L18349,L18361c138
                      |         |  9/2 |   10 |          7.5617273              |          0.0000004   |          |  51                                  :    34  3d6.(3H).4p             4I*   | L18349,L18361c138
                      |         |  7/2 |    8 |          7.5824802              |          0.0000004   |    0.720 |  72                                  :     9  3d6.(3H).4p             2G*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3P2).4p          | z 2D*   |  5/2 |    6 |          7.5746170              |          0.0000004   |    1.01  |  26                                  :    21  3d6.(3H).4p             4G*   | L18349,L18361c138
                      |         |  3/2 |    4 |          7.7025932              |          0.0000004   |    1.019 |  33                                  :    22  3d6.(3P1).4p            2D*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3H).4p           | z 4I*   | 15/2 |   16 |          7.6061288              |          0.0000004   |          | 100                                                                         | L18349,L18361c138
                      |         |  9/2 |   10 |          7.6265941              |          0.0000004   |          |  61                                  :    26  3d6.(3H).4p             4H*   | L18349,L18361c138
                      |         | 13/2 |   14 |          7.6284514              |          0.0000004   |          |  52                                  :    39  3d6.(3H).4p             4H*   | L18349,L18361c138
                      |         | 11/2 |   12 |          7.6358402              |          0.0000004   |          |  54                                  :    39  3d6.(3H).4p             4H*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3P2).4p          | y 4D*   |  7/2 |    8 |          7.6530572              |          0.0000004   |    1.411 |  55                                  :    33  3d6.(3P1).4p            4D*   | L18349,L18361c138
                      |         |  5/2 |    6 |          7.7725538              |          0.0000004   |    1.349 |  46                                  :    27  3d6.(3P1).4p            4D*   | L18349,L18361c138
                      |         |  1/2 |    2 |          7.7898120              |          0.0000004   |          |  60                                  :    33  3d6.(3P1).4p            4D*   | L18349,L18361c138
                      |         |  3/2 |    4 |          7.8063198              |          0.0000004   |    1.14  |  43                                  :    25  3d6.(3P1).4p            4D*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d5.(6S).4s.4p.(3P*)  | y 6P*   |  3/2 |    4 |          7.6839121              |          0.0000004   |          |  48  3d5.4s.(5S).4p 6P*              :    47  3d5.4s.(7S).4p          6P*   | L18349,L18361c138
                      |         |  5/2 |    6 |          7.6931007              |          0.0000004   |          |  49  3d5.4s.(7S).4p 6P*              :    48  3d5.4s.(5S).4p          6P*   | L18349,L18361c138
                      |         |  7/2 |    8 |          7.7082990              |          0.0000004   |    1.68  |  49  3d5.4s.(7S).4p 6P*              :    45  3d5.4s.(5S).4p          6P*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3F2).4p          | y 4F*   |  7/2 |    8 |          7.6951447              |          0.0000004   |    1.198 |  37                                  :    12  3d6.(3F1).4p            4F*   | L18349,L18361c138
                      |         |  5/2 |    6 |          7.7058106              |          0.0000004   |    1.025 |  59                                  :    19  3d6.(3F1).4p            4F*   | L18349,L18361c138
                      |         |  9/2 |   10 |          7.7066254              |          0.0000004   |    1.33  |  63                                  :    21  3d6.(3F1).4p            4F*   | L18349,L18361c138
                      |         |  3/2 |    4 |          7.7173363              |          0.0000004   |    0.43  |  66                                  :    20  3d6.(3F1).4p            4F*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3H).4p           | z 2G*   |  9/2 |   10 |          7.6973256              |          0.0000004   |    1.097 |  64                                  :    14  3d6.(3G).4p             2G*   | L18349,L18361c138
                      |         |  7/2 |    8 |          7.7269984              |          0.0000004   |          |  47                                  :    15  3d6.(3F2).4p            4F*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3H).4p           | z 2I*   | 13/2 |   14 |          7.7233696              |          0.0000004   |    1.069 |  88                                  :    10  3d6.(3H).4p             4I*   | L18349,L18361c138
                      |         | 11/2 |   12 |          7.7691291              |          0.0000004   |    0.910 |  92                                  :     4  3d6.(3H).4p             4I*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3F2).4p          | x 4D*   |  7/2 |    8 |          7.8041909              |          0.0000004   |    1.385 |  59                                  :    14  3d6.(3F1).4p            4D*   | L18349,L18361c138
                      |         |  5/2 |    6 |          7.8448498              |          0.0000004   |    1.351 |  66                                  :    14  3d6.(3F1).4p            4D*   | L18349,L18361c138
                      |         |  3/2 |    4 |          7.8686738              |          0.0000004   |    1.21  |  71                                  :    15  3d6.(3F1).4p            4D*   | L18349,L18361c138
                      |         |  1/2 |    2 |          7.8803734              |          0.0000004   |    0.013 |  72                                  :    15  3d6.(3F1).4p            4D*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3F2).4p          | y 4G*   | 11/2 |   12 |          7.9196550              |          0.0000004   |    1.24  |  52                                  :    26  3d6.(3H).4p             4G*   | L18349,L18361c138
