---------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Landé | Reference
                     |        |   6 |   13 |         8.2422032   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D1).5p         | 3P*    |   2 |    5 |         8.1510466   |         |    L11823
                     |        |   1 |    3 |         8.1843367   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).6s          | 5F     |   2 |    5 |         8.3211606   |         |    L11823
                     |        |   3 |    7 |         8.3735772   |         |    L11823
                     |        |   4 |    9 |         8.4435962   |         |    L11823
                     |        |   5 |   11 |         8.5267563   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D1).5p         | 1F*    |   3 |    7 |         8.3467279   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D1).5p         | 1D*    |   2 |    5 |         8.4163154   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(1P*) | 3G*    |   3 |    7 |         8.5737162   |         |    L11823
                     |        |   4 |    9 |         8.6834145   |         |    L11823
                     |        |   5 |   11 |         8.8112365   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).6s          | 3F     |   3 |    7 |         8.5750569   |         |    L11823
                     |        |   4 |    9 |         8.6790007   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(1P*) | 3F*    |   2 |    5 |         8.6045432   |         |    L11823
                     |        |   3 |    7 |         8.6646198   |         |    L11823
                     |        |   4 |    9 |         8.8816972   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1G).5s.5p.(3P*) | 3F*    |   4 |    9 |         8.6666732   |         |    L11823
                     |        |   3 |    7 |         8.8078756   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 5H     |   3 |    7 |         8.7899222   |         |    L11823
                     |        |   4 |    9 |         8.8325308   |         |    L11823
                     |        |   5 |   11 |         8.8877914   |         |    L11823
                     |        |   6 |   13 |         8.9555841   |         |    L11823
                     |        |   7 |   15 |         9.0336461   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 5P     |   1 |    3 |         8.7974204   |         |    L11823
                     |        |   2 |    5 |         8.8541346   |         |    L11823
                     |        |   3 |    7 |         8.9423909   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(1P*) | 3D*    |   1 |    3 |         8.8059226   |         |    L11823
                     |        |   2 |    5 |         8.8987551   |         |    L11823
                     |        |   3 |    7 |         9.0208533   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 5F     |   1 |    3 |         8.8271872   |         |    L11823
                     |        |   2 |    5 |         8.8909694   |         |    L11823
                     |        |   3 |    7 |         8.9495625   |         |    L11823
                     |        |   4 |    9 |         9.0043438   |         |    L11823
                     |        |   5 |   11 |         9.0651482   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 5G     |   2 |    5 |         8.8342749   |         |    L11823
                     |        |   3 |    7 |         8.8703379   |         |    L11823
                     |        |   4 |    9 |         8.9186795   |         |    L11823
                     |        |   5 |   11 |         8.9839779   |         |    L11823
                     |        |   6 |   13 |         9.0708256   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 3D     |   1 |    3 |         8.9009266   |         |    L11823
                     |        |   2 |    5 |         8.9326673   |         |    L11823
                     |        |   3 |    7 |         9.0185748   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(3P).5s.5p.(3P*) | 1D*    |   2 |    5 |         8.9887022   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 3P     |   0 |    1 |         9.0201182   |         |    L11823
                     |        |   1 |    3 |         9.0791687   |         |    L11823
                     |        |   2 |    5 |         9.1889099   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 3H     |   4 |    9 |         9.0696021   |         |    L11823
                     |        |   5 |   11 |         9.1586845   |         |    L11823
                     |        |   6 |   13 |         9.2591389   |         |    L11823
