--------------------------------------------------------------------------------
Configuration      | Term   |    J |           Level (eV) |   Landé | Reference
3s2.3p4.(3P<2>).6h | 2[3]*  |  5/2 |        26.1188340    |         |    L15349
                   |        |  7/2 |        26.11883558   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6f | 2[2]*  |  3/2 |        26.23162078   |         |    L15349
                   |        |  5/2 |        26.2333387    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6f | 2[4]*  |  9/2 |        26.23425790   |         |    L15349
                   |        |  7/2 |        26.2358673    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6f | 2[3]*  |  7/2 |        26.242751     |         |    L15349
                   |        |  5/2 |        26.2436322    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6g | 2[3]   |  5/2 |        26.2506360    |         |    L15349
                   |        |  7/2 |        26.25064918   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6g | 2[5]   | 11/2 |        26.25146678   |         |    L15349
                   |        |  9/2 |        26.25147564   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6h | 2[4]*  |  7/2 |        26.25389733   |         |    L15349
                   |        |  9/2 |        26.25389869   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6h | 2[6]*  | 11/2 |        26.25427164   |         |    L15349
                   |        | 13/2 |        26.25427361   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6g | 2[4]   |  9/2 |        26.2550758    |         |    L15349
                   |        |  7/2 |        26.2550759    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).6h | 2[5]*  | 11/2 |        26.25625206   |         |    L15349
                   |        |  9/2 |        26.25625349   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).6f | 2[3]*  |  7/2 |        26.29349807   |         |    L15349
                   |        |  5/2 |        26.2942069    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).7d    | 4D     |  7/2 |        26.2957448    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).6g | 2[4]   |  9/2 |        26.30919054   |         |    L15349
                   |        |  7/2 |        26.3092103    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).6h | 2[5]*  | 11/2 |        26.31161572   |         |    L15349
                   |        |  9/2 |        26.31161707   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).7d    | 4F     |  9/2 |        26.3124705    |         |    L15349
                   |        |  7/2 |        26.3270996    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).6s    | 2D     |  3/2 |        26.40024778   |         |    L15349
                   |        |  5/2 |        26.40040694   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).7d    | 2F     |  7/2 |        26.4457878    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7f | 2[4]*  |  9/2 |        26.501521     |         |    L15349
                   |        |  7/2 |        26.502211     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7f | 2[5]*  | 11/2 |        26.508766     |         |    L15349
                   |        |  9/2 |        26.508998     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7g | 2[5]   | 11/2 |        26.5151816    |         |    L15349
                   |        |  9/2 |        26.5151880    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7g | 2[4]   |  9/2 |        26.5153215    |         |    L15349
                   |        |  7/2 |        26.5153366    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7g | 2[3]   |  7/2 |        26.5169562    |         |    L15349
