------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed      |       Ritz        |      Rel. |    Aki     | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |    Wavelength     |    Wavelength     |      Int. |   (s^-1)   |      |        (eV)         (eV)        |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |     Air (nm)      |     Air (nm)      |           |            |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
Al I      |         210.755   |         210.75218 |       g,a |            |      |     0.0138938  -     [5.894968] | 3s2.3p                | 2P*     | 3/2 | 3s2.14s               | 2S      | 1/2  |   4 - 2   |    |                     |        L130  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         210.862   |         210.85927 |      g,a* |            |      |     0.0000000  -     [5.878087] | 3s2.3p                | 2P*     | 1/2 | 3s2.13s               | 2S      | 1/2  |   2 - 2   |    |                     |  L130,L7413  |
Al I      |         210.862   |         210.863   |      g,a* |            |      |     0.0138938  -      5.89187   | 3s2.3p                | 2P*     | 3/2 | 3s2.12d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |         211.361   |         211.35891 |       g,a |            |      |     0.0138938  -     [5.878087] | 3s2.3p                | 2P*     | 3/2 | 3s2.13s               | 2S      | 1/2  |   4 - 2   |    |                     |  L130,L7413  |
Al V      |                   |         211.387   |           | 1.10e+00   | C+   |    98.76859    -    104.6320    | 2s2.2p4.(1D).3s       | 2D      | 5/2 | 2s2.2p4.(1S).3s       | 2S      | 1/2  |   6 - 2   | E2 |                 c40 |              |
Al V      |                   |         211.524   |           | 7.31e-01   | C+   |    98.77237    -    104.6320    | 2s2.2p4.(1D).3s       | 2D      | 3/2 | 2s2.2p4.(1S).3s       | 2S      | 1/2  |   4 - 2   | E2 |                 c40 |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         211.656   |         211.65388 |       g,a |            |      |     0.0000000  -     [5.856022] | 3s2.3p                | 2P*     | 1/2 | 3s2.12s               | 2S      | 1/2  |   2 - 2   |    |                     |  L130,L7413  |
Al I      |         211.8312  |         211.83160 |       g,a | 1.03e+07   | C    |     0.0000000  -      5.851109  | 3s2.3p                | 2P*     | 1/2 | 3s2.10d               | 2D      | 3/2  |   2 - 4   |    |          T6527c4,LS |         L99  |
Al I      |         212.159   |         212.15730 |       g,a |            |      |     0.0138938  -     [5.856022] | 3s2.3p                | 2P*     | 3/2 | 3s2.12s               | 2S      | 1/2  |   4 - 2   |    |                     |  L130,L7413  |
Al I      |                   |         212.33586 |           | 2.0e+06    | D    |     0.0138938  -      5.851109  | 3s2.3p                | 2P*     | 3/2 | 3s2.10d               | 2D      | 3/2  |   4 - 4   |    |          T6527c4,LS |              |
Al I      |         212.3362  |         212.33586 |        1g | 1.22e+07   | C    |     0.0138938  -      5.851109  | 3s2.3p                | 2P*     | 3/2 | 3s2.10d               | 2D      | 5/2  |   4 - 6   |    |          T6527c4,LS |       L4737  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                   |         212.49    |           | 4.86e+00   | A    |     5.1041     -     10.9370    | 2s2.2p4               | 1D      | 2   | 2s2.2p4               | 1S      | 0    |   5 - 1   | E2 |       T7370c8,T6146 |              |
Al I      |         212.730   |         212.72996 |       g,a |            |      |     0.0000000  -     [5.826403] | 3s2.3p                | 2P*     | 1/2 | 3s2.11s               | 2S      | 1/2  |   2 - 2   |    |                     |        L130  |
Al IV     |         212.845   |         212.846   |        40 |            |      |   102.23051    -    108.05374   | 2s2.2p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 2s2.2p5.(2P*<3/2>).5s | 2[3/2]* | 1    |   5 - 3   |    |                     |       L2829  |
Al I      |         212.9663  |         212.96627 |        1g | 1.52e+07   | C    |     0.0000000  -      5.819938  | 3s2.3p                | 2P*     | 1/2 | 3s2.9d                | 2D      | 3/2  |   2 - 4   |    |          T6527c4,LS |       L4737  |
Al IV     |         213.0837  |         213.084   |       200 | 2.21e+06   | C+   |    77.45510    -     83.27182   | 2s2.2p5.(2P*).3s      | 1P*     | 1   | 2s2.2p5.(2P*).3p      | 3S      | 1    |   3 - 3   |    |                 c47 |       L2223  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al IV     |         213.092   |         213.098   |    200bl* |            |      |   102.63969    -    108.45602   | 2s2.2p5.(2P*<1/2>).4p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).5s | 2[1/2]* | 1    |   3 - 3   |    |                     |       L2829  |
Al IV     |         213.092   |         213.098   |    200bl* |            |      |   102.17290    -    107.98923   | 2s2.2p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 2s2.2p5.(2P*<3/2>).5s | 2[3/2]* | 2    |   7 - 5   |    |                     |       L2829  |
Al I      |         213.239   |         213.23851 |       g,a |            |      |     0.0138938  -     [5.826403] | 3s2.3p                | 2P*     | 3/2 | 3s2.11s               | 2S      | 1/2  |   4 - 2   |    |                     |        L130  |
Al I      |         213.4733  |         213.47331 |        2g | 1.81e+07   | C    |     0.0138938  -      5.820010  | 3s2.3p                | 2P*     | 3/2 | 3s2.9d                | 2D      | 5/2  |   4 - 6   |    |          T6527c4,LS |       L4737  |
Al I      |                   |         213.47596 |           | 3.0e+06    | D    |     0.0138938  -      5.819938  | 3s2.3p                | 2P*     | 3/2 | 3s2.9d                | 2D      | 3/2  |   4 - 4   |    |          T6527c4,LS |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al X      |                   |         213.8     |           | 2.42e+07   | B    |   255.053?     -    260.850     | 1s2.2p.3s             | 3P*     | 2   | 1s2.2p.3p             | 3D      | 2    |   5 - 5   |    |          T5633c4,LS |              |
Al X      |                   |         213.8     |           | 6.01e+07   | B+   |   259.725      -    265.522     | 1s2.2p.3p             | 1P      | 1   | 1s2.2p.3d             | 1D*     | 2    |   3 - 5   |    |             T5633c4 |              |
Al I      |         214.239   |         214.23997 |       g,a |            |      |     0.0000000  -     [5.785342] | 3s2.3p                | 2P*     | 1/2 | 3s2.10s               | 2S      | 1/2  |   2 - 2   |    |                     |        L130  |
