----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |               Level (eV) |     Uncertainty (eV) |           Landé | Leading percentages                                | Reference
                       |           |   2 |    5 |          10.800665       |          0.000003    |                 |  95                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6p              | 1D        |   2 |    5 |          10.8136878      |          0.0000007   |                 |  88         :     6  2s2.2p.7p             1D      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6p              | 1S        |   0 |    1 |          10.828910       |          0.000004    |                 |  65         :    22  2s2.2p.7p             1S      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6d              | 1D*       |   2 |    5 |          10.865203       |          0.000004    |                 |  84         :    12  2s2.2p.6d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6d              | 3F*       |   2 |    5 |          10.874433       |          0.000006    |                 |  64         :    27  2s2.2p.6d             3D*     |       L20057
                       |           |   3 |    7 |          10.875078       |          0.000006    |                 |  64         :    24  2s2.2p.6d             3D*     |       L20057
                       |           |   4 |    9 |          10.880931       |          0.000006    |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.7s              | 3P*       |   0 |    1 |          10.874826       |          0.000004    |                 |  96                                                |       L20057
                       |           |   1 |    3 |          10.8757181      |          0.0000020   |                 |  65         :    16  2s2.2p.7s             1P*     |       L20057
                       |           |   2 |    5 |          10.880080       |          0.000003    |                 |  71         :    15  2s2.2p.6d             3P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6d              | 3D*       |   1 |    3 |          10.877794       |          0.000016    |                 |  66         :    15  2s2.2p.7s             3P*     |       L20057
                       |           |   2 |    5 |          10.882479       |          0.000003    |                 |  53         :    24  2s2.2p.6d             3F*     |       L20057
                       |           |   3 |    7 |          10.882983       |          0.000004    |                 |  70         :    29  2s2.2p.6d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).6f   | 2[5/2]    |   3 |    7 |          10.881120       |          0.000006    |                 |  97                                                |       L20057
                       |           |   2 |    5 |          10.881130       |          0.000004    |                 |  97                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).6f   | 2[7/2]    |   4 |    9 |          10.881242       |          0.000010    |                 |  99                                                |       L20057
                       |           |   3 |    7 |          10.881251       |          0.000009    |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).6g   | 2[7/2]*   |   4 |    9 |          10.8820880      |          0.0000005   |                 |  99                                                |       L20057
                       |           |   3 |    7 |          10.8820884      |          0.0000006   |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).6g   | 2[9/2]*   |   4 |    9 |          10.88212882     |          0.00000010  |                 | 100                                                |       L20057
                       |           |   5 |   11 |          10.88212882     |          0.00000010  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).6h   | 2[9/2]    |   4 |    9 |          10.8822614      |          0.0000010   |                 | 100                                                |       L20057
                       |           |   5 |   11 |          10.8822615      |          0.0000011   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).6h   | 2[11/2]   |   5 |   11 |          10.8822624      |          0.0000017   |                 | 100                                                |       L20057
                       |           |   6 |   13 |          10.8822624      |          0.0000017   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.7s              | 1P*       |   1 |    3 |          10.884529       |          0.000003    |                 |  51         :    38  2s2.2p.6d             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6d              | 1F*       |   3 |    7 |          10.886674       |          0.000004    |                 |  87         :     7  2s2.2p.6d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[7/2]    |   3 |    7 |          10.888287       |          0.000004    |                 |  99                                                |       L20057
                       |           |   4 |    9 |          10.888298       |          0.000010    |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[5/2]    |   3 |    7 |          10.889159       |          0.000005    |                 |  98                                                |       L20057
                       |           |   2 |    5 |          10.889165       |          0.000003    |                 |  97                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6g   | 2[9/2]*   |   4 |    9 |          10.8894649      |          0.0000021   |                 | 100                                                |       L20057
                       |           |   5 |   11 |          10.8894663      |          0.0000005   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6d              | 1P*       |   1 |    3 |          10.889554       |          0.000004    |                 |  40         :    31  2s2.2p.7s             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[9/2]    |   5 |   11 |         [10.88969]       |          0.00005     |                 | 100                                                |       L20057
                       |           |   4 |    9 |         [10.88972]       |          0.00005     |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6g   | 2[7/2]*   |   3 |    7 |          10.8898223      |          0.0000016   |                 | 100                                                |       L20057
                       |           |   4 |    9 |          10.8898232      |          0.0000005   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6d              | 3P*       |   2 |    5 |          10.889850       |          0.000003    |                 |  68         :    24  2s2.2p.7s             3P*     |       L20057
                       |           |   1 |    3 |          10.891259       |          0.000004    |                 |  85         :     7  2s2.2p.7s             3P*     |       L20057
                       |           |   0 |    1 |          10.89140        |          0.00020     |                 |  95         :     4  2s2.2p.7s             3P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[11/2]   |   5 |   11 |          10.8899153      |          0.0000017   |                 | 100                                                |       L20057
                       |           |   6 |   13 |          10.8899155      |          0.0000017   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[9/2]    |   4 |    9 |          10.8900233      |          0.0000007   |                 | 100                                                |       L20057
                       |           |   5 |   11 |          10.8900233      |          0.0000007   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6g   | 2[11/2]*  |   6 |   13 |          10.89023122     |          0.00000012  |                 | 100                                                |       L20057
                       |           |   5 |   11 |          10.8902316      |          0.0000005   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[13/2]   |   6 |   13 |          10.8902822      |          0.0000010   |                 | 100                                                |       L20057
                       |           |   7 |   15 |          10.8902825      |          0.0000010   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[7/2]    |   3 |    7 |          10.8904167      |          0.0000011   |                 | 100                                                |       L20057
                       |           |   4 |    9 |          10.8904168      |          0.0000011   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[3/2]    |   2 |    5 |          10.890494       |          0.000006    |                 | 100                                                |       L20057
