------------------------------------------------------------------------------------------------------------
Configuration        | Term    |    J |    g |       Level (eV) |   Uncertainty (eV) |    Landé | Reference
                     | 411*    |  1/2 |    2 |       5.10566    |                    |   0.434  |          
                     |         |  3/2 |    4 |       5.107860   |                    |   1.335  |          
                     |         |      |      |                  |                    |          |           
                     | 412*    |  7/2 |    8 |       5.115161   |                    |   1.533  |          
                     |         |      |      |                  |                    |          |           
                     | 415*    | 5/2? |    6 |       5.155875   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 416*    |  3/2 |    4 |       5.169229   |                    |   1.183  |          
                     |         |      |      |                  |                    |          |           
                     | 418*    |  5/2 |    6 |       5.192363   |                    |   1.199  |          
                     |         |      |      |                  |                    |          |           
                     | 419*    |  1/2 |    2 |       5.195300   |                    |   0.745  |          
                     |         |      |      |                  |                    |          |           
                     | 420*    |  7/2 |    8 |       5.209562   |                    |   1.107  |          
                     |         |      |      |                  |                    |          |           
                     | 421*    |  3/2 |    4 |       5.229500?  |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 422*    |  9/2 |   10 |       5.237960   |                    |   1.268  |          
                     |         |      |      |                  |                    |          |           
                     | 424*    |  3/2 |    4 |       5.257942   |                    |   1.227  |          
                     |         |      |      |                  |                    |          |           
                     | 427*    |  7/2 |    8 |       5.300538   |                    |   1.170  |          
                     |         |  3/2 |    4 |       5.303883   |                    |   1.321  |          
                     |         |      |      |                  |                    |          |           
                     | 428*    |  5/2 |    6 |       5.312069   |                    |   1.409  |          
                     |         |      |      |                  |                    |          |           
                     | 429*    |  7/2 |    8 |       5.32551    |                    |   1.046? |          
                     |         |  5/2 |    6 |       5.32919    |                    |   1.172  |          
                     |         |      |      |                  |                    |          |           
                     | 430*    |  9/2 |   10 |       5.342514   |                    |   1.222  |          
                     |         |      |      |                  |                    |          |           
                     | 431*    |  3/2 |    4 |       5.352035   |                    |   1.135  |          
                     |         | 11/2 |   12 |       5.354269   |                    |   1.219  |          
                     |         |      |      |                  |                    |          |           
                     | 432*    |  5/2 |    6 |       5.360980   |                    |   0.973  |          
                     |         |      |      |                  |                    |          |           
                     | 433*    |  9/2 |   10 |       5.379886   |                    |          |          
                     |         |      |      |                  |                    |          |           
5d4.(5D).6p          | y 4P*   |  1/2 |    2 |       5.390610   |                    |   2.18   |          
                     |         |  3/2 |    4 |       5.540768   |                    |   1.809  |          
                     |         |  5/2 |    6 |       5.743358   |                    |   1.601  |          
                     |         |      |      |                  |                    |          |           
                     | 434     |  9/2 |   10 |       5.392474?  |                    |          |          
