-----------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |                   Level    |  Landé | Leading percentages                            | Reference
3d2.(1G).4d         | 2H     |  9/2 |            10.0164539      |        |                                                |      L17885
                    |        | 11/2 |            10.02160154     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 4H*    |  7/2 |            10.1205610      |        |                                                |      L17885
                    |        |  9/2 |            10.12658797     |        |                                                |      L17885
                    |        | 11/2 |            10.13622127     |        |                                                |      L17885
                    |        | 13/2 |            10.17575645     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 2G*    |  7/2 |            10.1277705      |        |                                                |      L17885
                    |        |  9/2 |            10.14714494     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 4G*    |  5/2 |            10.1325255      |        |                                                |      L17885
                    |        |  7/2 |            10.14947380     |        |                                                |      L17885
                    |        |  9/2 |            10.1764445      |        |                                                |      L17885
                    |        | 11/2 |            10.17949782     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 4I*    |  9/2 |            10.13425607     |        |                                                |      L17885
                    |        | 11/2 |            10.15301350     |        |                                                |      L17885
                    |        | 13/2 |            10.15674684     |        |                                                |      L17885
                    |        | 15/2 |            10.1870469      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 4D*    |  3/2 |            10.1383807      |        |                                                |      L17885
                    |        |  5/2 |            10.1387033      |        |                                                |      L17885
                    |        |  7/2 |            10.18333747     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 4F*    |  3/2 |            10.1503229      |        |                                                |      L17885
                    |        |  7/2 |            10.15592323     |        |                                                |      L17885
                    |        |  5/2 |            10.15968837     |        |                                                |      L17885
                    |        |  9/2 |            10.18501751     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 2H*    |  9/2 |            10.1572971      |        |                                                |      L17885
                    |        | 11/2 |            10.1894517      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 2F*    |  5/2 |            10.1663329      |        |                                                |      L17885
                    |        |  7/2 |            10.1854830      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 2I*    | 11/2 |            10.1668417      |        |                                                |      L17885
                    |        | 13/2 |            10.2019612      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 2P*    |  1/2 |            10.1748429      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).5p         | 4D*    |  5/2 |            10.1805667      |        |                                                |      L17885
                    |        |  7/2 |            10.20594438     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).4d         | 2F     |  5/2 |            10.1966665      |        |                                                |      L17885
                    |        |  7/2 |            10.19684024     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 4P*    |  5/2 |            10.1972682      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 2D*    |  5/2 |            10.2062636      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4f         | 4S*    |  3/2 |            10.2126051      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).6s         | 4F     |  3/2 |            10.2707692      |        |                                                |      L17885
                    |        |  5/2 |            10.2800631      |        |                                                |      L17885
                    |        |  7/2 |            10.2979462      |        |                                                |      L17885
                    |        |  9/2 |            10.32258327     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).6s         | 2F     |  5/2 |            10.3211036      |        |                                                |      L17885
                    |        |  7/2 |            10.3550814      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).4d         | 2D     |  5/2 |            10.37264416     |        |                                                |      L17885
                    |        |  3/2 |            10.3733122      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5d         | 4G     |  5/2 |            10.4480207      |        |                                                |      L17885
                    |        |  7/2 |            10.4593698      |        |                                                |      L17885
                    |        |  9/2 |            10.4755458      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5d         | 4H     |  7/2 |            10.4605319      |        |                                                |      L17885
                    |        |  9/2 |            10.47825097     |        |                                                |      L17885
                    |        | 11/2 |            10.4930615      |        |                                                |      L17885
                    |        | 13/2 |            10.5042238      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5d         | 4D     |  3/2 |            10.4779240      |        |                                                |      L17885
                    |        |  5/2 |            10.4945949      |        |                                                |      L17885
                    |        |  7/2 |            10.4955652      |        |                                                |      L17885
--------------------|--------|------|----------------------------|--------|------------------------------------------------|-------------
                    |        |      |                            |        |                                                |             
Ti III (3d2 3F<2>)  | Limit  |  --- |        13.5755(25)         |        |                                                | L7185,L5432
-----------------------------------------------------------------------------------------------------------------------------------------
