-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |         Rel. |    Aki     | Acc. |     Ei           Ek     |           Lower level           |           Upper level           |  gi   gk  |Type|    TP  |            Line  |
          |    Wavelength    |    Wavelength    |         Int. |   (s^-1)   |      |    (eV)         (eV)    |---------------------------------|---------------------------------|           |    |   Ref. |            Ref.  |
          |     Air (nm)     |     Air (nm)     |              |            |      |                         | Conf.           | Term   | J    | Conf.           | Term   | J    |           |    |        |                  |
Ta I      |        250.445   |        250.4449+ |          600 |            |      |  0.491463  -   5.440531 | 5d3.6s2         | a 4F   | 7/2  |                 | 438*   | 5/2  |   8 - 6   |    |        |           L3475  |
Ta I      |        250.745   |        250.7451+ |          600 |            |      |  0.249221  -   5.192363 | 5d3.6s2         | a 4F   | 5/2  |                 | 418*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta I      |        251.265   |        251.2658+ |          240 |            |      |  0.000000  -   4.932900 | 5d3.6s2         | a 4F   | 3/2  |                 | 397*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        252.635   |        252.6351+ |        1200D | 4.5e+07    | D+   |  0.249221  -   5.155384 | 5d3.6s2         | a 4F   | 5/2  | 5d4.(5D).6p     | y 6F*  | 5/2  |   6 - 6   |    |  T7871 |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        253.212   |                  |          600 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        254.549   |                  |          240 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        254.680   |        254.6807+ |          240 |            |      |  0.000000  -   4.866760 | 5d3.6s2         | a 4F   | 3/2  |                 | 392*   | 3/2  |   4 - 4   |    |        |           L3475  |
Ta I      |        255.107   |        255.1064+ |         460D |            |      |  0.249221  -   5.107860 | 5d3.6s2         | a 4F   | 5/2  |                 | 411*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta I      |        255.107   |        255.1097+ |         460D | 5.0e+07    | D+   |  0.752449  -   5.611026 | 5d3.6s2         | a 4P   | 3/2  | 5d4.(5D).6p     | x 6D*  | 5/2  |   4 - 6   |    |  T7871 |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        255.462   |                  |          460 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        255.505   |        255.5055+ |          240 |            |      |  0.491463  -   5.342514 | 5d3.6s2         | a 4F   | 7/2  |                 | 430*   | 9/2  |   8 - 10  |    |        |           L3475  |
Ta I      |        255.943   |        255.9428+ |         1200 |            |      |  0.000000  -   4.842763 | 5d3.6s2         | a 4F   | 3/2  |                 | 390*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        256.210   |        256.209+  |          460 |            |      |  0.491463  -   5.32919  | 5d3.6s2         | a 4F   | 7/2  |                 | 429*   | 5/2  |   8 - 6   |    |        |           L3475  |
Ta II     |        257.151   |                  |          340 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        257.354   |        257.3546+ |          430 |            |      |  0.000000  -   4.816197 | 5d3.6s2         | a 4F   | 3/2  |                 | 388*   | 1/2  |   4 - 2   |    |        |           L3475  |
Ta I      |        257.379   |        257.3794+ |          390 |            |      |  0.249221  -   5.064954 | 5d3.6s2         | a 4F   | 5/2  |                 | 408*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta II     |        257.737   |                  |          600 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        257.778   |        257.7776+ |          340 |            |      |  0.696920  -   5.505216 | 5d3.6s2         | a 4F   | 9/2  |                 | 444*   | 9/2  |  10 - 10  |    |        |           L3475  |
Ta I      |        258.016   |        258.0153+ |          210 |            |      |  0.249221  -   5.053088 | 5d3.6s2         | a 4F   | 5/2  |                 | 407*   | 7/2  |   6 - 8   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        258.403   |                  |          340 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        259.308   |        259.3085+ |          430 |            |      |  0.696920  -   5.476831 | 5d3.6s2         | a 4F   | 9/2  |                 | 441*   | 9/2  |  10 - 10  |    |        |           L3475  |
Ta II     |        259.366   |                  |          410 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        259.425   |                  |          310 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        259.526   |        259.5260+ |          560 |            |      |  0.696920  -   5.472825 | 5d3.6s2         | a 4F   | 9/2  |                 | 441*   | 11/2 |  10 - 12  |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
