------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed    |  Unc.   |      Ritz      |  Unc.   |           Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level           |           Upper level           |  gi   gk  |Type|    TP  |        Line  |
          |   Wavelength   |   (nm)  |   Wavelength   |   (nm)  |           Int. |   (s^-1)   |      |      (eV)         (eV)      |--------------------------------|---------------------------------|           |    |   Ref. |        Ref.  |
          |    Air (nm)    |         |    Air (nm)    |         |                |            |      |                             | Conf.           | Term   | J   | Conf.           | Term    | J   |           |    |        |              |
Nb IV     |       234.4484 |  0.0005 |       234.4486 |  0.0007 |         200000 | 8.2e+08    | C+   |  23.851097   -   29.137810  | 4d.4f           | 1H*    | 5   | 4d.(2D<5/2>).5g | 2[13/2] | 6   |  11 - 13  |    |  T2192 |      L12094  |
Nb III    |       234.921  |  0.010  |                |         |             90 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       235.554  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       236.206  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       236.250  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       236.570  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       237.273  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb II     |       237.640  |  0.010  |                |         |            170 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       237.8799 |  0.0005 |       237.8808 |  0.0008 |         100000 | 1.27e+08   | C+   |  23.851097   -   29.061536  | 4d.4f           | 1H*    | 5   | 4d.(2D<5/2>).5g | 2[11/2] | 6   |  11 - 13  |    |  T2192 |      L12094  |
Nb II     |       238.709  |  0.010  |                |         |            110 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb III    |       238.741  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb II     |       238.752  |  0.010  |                |         |            140 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb III    |       238.823  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb II     |       238.827  |  0.010  |                |         |             45 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb IV     |       239.0246 |  0.0005 |       239.0246 |  0.0005 |         400000 | 3.1e+06    | D+   |   7.261343   -   12.446853  | 4d.5s           | 1D     | 2   | 4d.5p           | 3D*     | 2   |   5 - 5   |    |  T2192 |      L12094  |
Nb IV     |       239.0494 |  0.0005 |       239.0494 |  0.0004 |        1600000 | 1.3e+07    | D+   |   7.261343   -   12.446315  | 4d.5s           | 1D     | 2   | 4d.5p           | 3F*     | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb II     |       239.848  |  0.010  |                |         |            160 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb III    |       240.423  |  0.010  |                |         |             50 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       240.489  |  0.010  |                |         |             80 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb II     |       240.534  |  0.010  |                |         |             55 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb II     |       240.585  |  0.010  |                |         |             55 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb II     |       241.246  |  0.010  |                |         |            140 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb III    |       241.394  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       241.450  |  0.010  |                |         |             60 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb II     |       241.699  |  0.010  |                |         |            160 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb II     |       241.869  |  0.010  |                |         |            140 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb III    |       242.191  |  0.010  |                |         |            100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb IV     |       242.8902 |  0.0005 |       242.8902 |  0.0004 |        8000000 | 1.48e+08   | C+   |   7.261343   -   12.364332  | 4d.5s           | 1D     | 2   | 4d.5p           | 3F*     | 2   |   5 - 5   |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb II     |       243.380  |  0.010  |                |         |             75 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb II     |       243.595  |  0.010  |                |         |             40 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb I      |       243.633  |  0.010  |                |         |             35 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb IV     |       243.6797 |  0.0005 |       243.6798 |  0.0007 |         100000 | 5.2e+07    | C    |  22.009853   -   27.096307  | 5s.5p           | 1P*    | 1   | 5p2             | 3P      | 2   |   3 - 5   |    |  T2192 |      L12094  |
Nb II     |       243.742  |  0.010  |                |         |             45 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       243.774  |  0.010  |                |         |             50 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
