---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |  Rel. |     Aki     | Acc. |         Ei           Ek         |             Lower level             |             Upper level              |  gi   gk  |Type|               TP  |          Line  |
          |    Wavelength    |    Wavelength    |  Int. |   (s^-1)    |      |        (eV)         (eV)        |-------------------------------------|--------------------------------------|           |    |              Ref. |          Ref.  |
          |     Air (nm)     |     Air (nm)     |       |             |      |                                 | Conf.                | Term  | J    | Conf.                 | Term  | J    |           |    |                   |                |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |                  |        211.1198  |       | 1.08e+05    | E    |   28.358142    -    34.228977   | 2s2.2p2.(1D).3p      | 2F*   | 5/2  | 2s2.2p2.(1S).3d       | 2D    | 5/2  |   6 - 6   |    |           T5723LS |         L7243  |
O IV      |                  |        211.211   |       | 1.97e+05    | C+   |   61.99147     -    67.8598     | 2s2.4p               | 2P*   | 1/2  | 2s.2p.(1P*).3p        | 2D    | 3/2  |   2 - 4   |    |           T5109LS |                |
O II      |                  |        211.2251  |       | 2.15e+06    | D    |   28.361069    -    34.228977   | 2s2.2p2.(1D).3p      | 2F*   | 7/2  | 2s2.2p2.(1S).3d       | 2D    | 5/2  |   8 - 6   |    |           T5723LS |         L7243  |
O IV      |                  |        211.273   |       | 2.36e+05    | C+   |   61.99679     -    67.8634     | 2s2.4p               | 2P*   | 3/2  | 2s.2p.(1P*).3p        | 2D    | 5/2  |   4 - 6   |    |           T5109LS |                |
O IV      |                  |        211.402   |       | 3.93e+04    | D    |   61.99679     -    67.8598     | 2s2.4p               | 2P*   | 3/2  | 2s.2p.(1P*).3p        | 2D    | 3/2  |   4 - 4   |    |           T5109LS |                |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |                  |        211.5280  |       | 2.25e+06    | D    |   28.358142    -    34.217649   | 2s2.2p2.(1D).3p      | 2F*   | 5/2  | 2s2.2p2.(1S).3d       | 2D    | 3/2  |   6 - 4   |    |           T5723LS |         L7243  |
O IV      |                  |        212.013   |       | 9.63e+06    | B    |   72.5011      -    78.3472     | 2s.2p.(3P*).4p       | 2D    | 5/2  | 2p2.(1D).3p           | 2D*   | 3/2  |   6 - 4   |    |           T5109LS |                |
O IV      |                  |        212.058   |       | 1.05e+08    | B    |   57.92905     -    63.77391    | 2s.2p.(3P*).3p       | 2P    | 1/2  | 2s.2p.(3P*).3d        | 2P*   | 1/2  |   2 - 2   |    |           T5109LS |                |
O II      |        212.3202  |        212.3182  |     8 | 5.00e+06    | C    |   26.2253999   -    32.063101   | 2s2.2p2.(3P).3p      | 2D*   | 3/2  | 2s2.2p2.(3P).5s       | 2P    | 3/2  |   4 - 4   |    |           T5723LS |        L10549  |
O IV      |                  |        212.579   |       | 5.23e+07    | B    |   57.94338     -    63.77391    | 2s.2p.(3P*).3p       | 2P    | 3/2  | 2s.2p.(3P*).3d        | 2P*   | 1/2  |   4 - 2   |    |           T5109LS |                |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
