----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl III    |                 |        269.142  |        | 1.4e+08    | D    |  25.359846    -    29.96513?   | 3s2.3p2.(3P).4p  | 4P*  | 5/2 | 3s2.3p2.(3P).4d       | 4D      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        269.961  |        | 2.3e+07    | E    |  25.359846    -    29.95116?   | 3s2.3p2.(3P).4p  | 4P*  | 5/2 | 3s2.3p2.(3P).4d       | 4D      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl IV     |        270.136  |        270.136  |    400 | 8.2e+07    | D    |  26.70487     -    31.29320    | 3s2.3p(2P*)4s    | 3P*  | 1   | 3s2.3p(2P*)4p         | 3P      | 2   |   3 - 5   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        271.0001 |        | 3.5e+08    | D    |  25.533065    -    30.106770   | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).4d       | 4P      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |        271.037  |                 |    700 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl IV     |        272.403  |        272.400  |    500 | 1.1e+08    | D    |  26.65983     -    31.21002    | 3s2.3p(2P*)4s    | 3P*  | 0   | 3s2.3p(2P*)4p         | 3P      | 1   |   1 - 3   |    |            T1619CA,LS |   L495  |
Cl IV     |        275.123  |        275.124  |    500 | 7.8e+07    | D    |  26.70487     -    31.21002    | 3s2.3p(2P*)4s    | 3P*  | 1   | 3s2.3p(2P*)4p         | 3P      | 1   |   3 - 3   |    |            T1619CA,LS |   L495  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl IV     |        277.064  |        277.064  |    400 | 3.0e+08    | D    |  26.70487     -    31.17848    | 3s2.3p(2P*)4s    | 3P*  | 1   | 3s2.3p(2P*)4p         | 3P      | 0   |   3 - 1   |    |            T1619CA,LS |   L495  |
Cl IV     |        278.247  |        278.248  |    700 | 2.3e+08    | D    |  26.83862     -    31.29320    | 3s2.3p(2P*)4s    | 3P*  | 2   | 3s2.3p(2P*)4p         | 3P      | 2   |   5 - 5   |    |            T1619CA,LS |   L495  |
Cl IV     |        283.54   |        283.543  |    400 | 1.2e+08    | D    |  26.83862     -    31.21002    | 3s2.3p(2P*)4s    | 3P*  | 2   | 3s2.3p(2P*)4p         | 3P      | 1   |   5 - 3   |    |            T1619CA,LS |   L495  |
Cl II     |                 |        290.6217 |        | 8.6e+07    | D    |  18.036001    -    22.300922   | 3s2.3p3.(2D*).4p | 1P   | 1   | 3s2.3p3.(2D*).4d      | 1P*     | 1   |   3 - 3   |    |               T1619CA |         |
Cl II     |        291.205  |                 |    410 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        296.556  |        296.551  |    600 | 2.7e+08    | D    |  23.357325    -    27.53698?   | 3s2.3p2.(1D).4s  | 2D   | 5/2 | 3s2.3p2.(1D).4p       | 2P*     | 3/2 |   6 - 4   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        297.062  |        | 3.0e+07    | D    |  23.364515    -    27.53698?   | 3s2.3p2.(1D).4s  | 2D   | 3/2 | 3s2.3p2.(1D).4p       | 2P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        299.176  |        | 3.0e+08    | D    |  23.364515    -    27.50749?   | 3s2.3p2.(1D).4s  | 2D   | 3/2 | 3s2.3p2.(1D).4p       | 2P*     | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl II     |        299.665  |                 |    950 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |        300.606  |                 |    500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        302.2913 |        | 6.0e+07    | D    |  18.036001    -    22.136288   | 3s2.3p3.(2D*).4p | 1P   | 1   | 3s2.3p3.(2D*).4d      | 1D*     | 2   |   3 - 5   |    |               T1619CA |         |
Cl II     |        305.796  |                 |    950 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl IV     |        306.313  |        306.313  |    500 | 1.7e+08    | D    |  26.70487     -    30.75133    | 3s2.3p(2P*)4s    | 3P*  | 1   | 3s2.3p(2P*)4p         | 3D      | 2   |   3 - 5   |    |            T1619CA,LS |   L495  |
Cl II     |        307.132  |                 |   1300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl IV     |                 |        307.136  |        | 1.3e+08    | D    |  26.65983     -    30.69544    | 3s2.3p(2P*)4s    | 3P*  | 0   | 3s2.3p(2P*)4p         | 3D      | 1   |   1 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl IV     |        307.668  |        307.668  |    600 | 2.3e+08    | D    |  26.83862     -    30.86725    | 3s2.3p(2P*)4s    | 3P*  | 2   | 3s2.3p(2P*)4p         | 3D      | 3   |   5 - 7   |    |            T1619CA,LS |   L495  |
Cl II     |        309.219  |                 |   1400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl III    |        310.446  |        310.4421 |    600 | 4.4e+07    | D    |  21.540429    -    25.533065   | 3s2.3p2.(3P).4s  | 4P   | 1/2 | 3s2.3p2.(3P).4p       | 4S*     | 3/2 |   2 - 4   |    |            T1619CA,LS |   L480  |
Cl IV     |                 |        310.603  |        | 9.2e+07    | D    |  26.70487     -    30.69544    | 3s2.3p(2P*)4s    | 3P*  | 1   | 3s2.3p(2P*)4p         | 3D      | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl IV     |                 |        311.866  |        | 2.61e+00   | C    |   0.06100     -     4.03541    | 3s2.3p2          | 3P   | 1   | 3s2.3p2               | 1S      | 0   |   3 - 1   | M1 |                  T761 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        312.372  |                 |   1200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl III    |        313.934  |        313.9297 |    800 | 8.6e+07    | D    |  21.584784    -    25.533065   | 3s2.3p2.(3P).4s  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4S*     | 3/2 |   4 - 4   |    |            T1619CA,LS |   L480  |
Cl IV     |        316.787  |        316.784  |    200 | 5.2e+07    | D    |  26.83862     -    30.75133    | 3s2.3p(2P*)4s    | 3P*  | 2   | 3s2.3p(2P*)4p         | 3D      | 2   |   5 - 5   |    |            T1619CA,LS |   L495  |
Cl II     |                 |        317.4933 |        | 5.1e+05    | E    |  18.142826    -    22.046793   | 3s2.3p3.(2D*).4p | 3D   | 1   | 3s2.3p3.(2D*).4d      | 3P*     | 2   |   3 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        317.5315 |        | 7.6e+06    | D    |  18.143296    -    22.046793   | 3s2.3p3.(2D*).4p | 3D   | 2   | 3s2.3p3.(2D*).4d      | 3P*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        318.1250 |        | 1.3e+07    | D    |  18.142826    -    22.039042   | 3s2.3p3.(2D*).4p | 3D   | 1   | 3s2.3p3.(2D*).4d      | 3P*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        318.1633 |        | 3.9e+07    | D    |  18.143296    -    22.039042   | 3s2.3p3.(2D*).4p | 3D   | 2   | 3s2.3p3.(2D*).4d      | 3P*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        318.7420 |        | 5.2e+07    | D    |  18.142826    -    22.031500   | 3s2.3p3.(2D*).4p | 3D   | 1   | 3s2.3p3.(2D*).4d      | 3P*     | 0   |   3 - 1   |    |            T1619CA,LS |         |
Cl II     |                 |        318.8999 |        | 1.9e+07    | D    |  18.160045    -    22.046793   | 3s2.3p3.(2D*).4p | 3D   | 3   | 3s2.3p3.(2D*).4d      | 3P*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl III    |        319.145  |        319.1283 |    900 | 1.2e+08    | D    |  21.649099    -    25.533065   | 3s2.3p2.(3P).4s  | 4P   | 5/2 | 3s2.3p2.(3P).4p       | 4S*     | 3/2 |   6 - 4   |    |            T1619CA,LS |   L480  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl IV     |                 |        320.360  |        | 3.8e-02    | D    |   0.16637     -     4.03541    | 3s2.3p2          | 3P   | 2   | 3s2.3p2               | 1S      | 0   |   5 - 1   | E2 |                  T761 |         |
Cl IV     |                 |        321.375  |        | 5.5e+06    | E    |  26.83862     -    30.69544    | 3s2.3p(2P*)4s    | 3P*  | 2   | 3s2.3p(2P*)4p         | 3D      | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        323.1774 |        | 1.2e+07    | D    |  18.300981    -    22.136288   | 3s2.3p3.(2D*).4p | 1F   | 3   | 3s2.3p3.(2D*).4d      | 1D*     | 2   |   7 - 5   |    |               T1619CA |         |
Cl III    |                 |        324.438  |        | 4.1e+07    | D    |  22.114955    -    25.93536?   | 3s2.3p2.(3P).4s  | 2P   | 1/2 | 3s2.3p2.(3P).4p       | 2P*     | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        325.919  |        | 1.6e+08    | D    |  22.114955    -    25.91800?   | 3s2.3p2.(3P).4s  | 2P   | 1/2 | 3s2.3p2.(3P).4p       | 2P*     | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        328.3350 |        | 6.8e+07    | D    |  21.584784    -    25.359846   | 3s2.3p2.(3P).4s  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4P*     | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |        328.980  |        328.9743 |    700 | 9.3e+07    | D    |  21.540429    -    25.308155   | 3s2.3p2.(3P).4s  | 4P   | 1/2 | 3s2.3p2.(3P).4p       | 4P*     | 3/2 |   2 - 4   |    |            T1619CA,LS |   L480  |
Cl III    |                 |        330.0907 |        | 3.7e+07    | E    |  21.540429    -    25.295412   | 3s2.3p2.(3P).4s  | 4P   | 1/2 | 3s2.3p2.(3P).4p       | 4P*     | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl II     |                 |        330.6424 |        | 5.8e+07    | D    |  16.335677    -    20.084395   | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).4d      | 3D*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        330.7796 |        | 3.9e+06    | E    |  16.337232    -    20.084395   | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).4d      | 3D*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        330.7878 |        | 7.8e+07    | D    |  16.337325    -    20.084395   | 3s2.3p3.(4S*).4p | 3P   | 0   | 3s2.3p3.(4S*).4d      | 3D*     | 1   |   1 - 3   |    |            T1619CA,LS |         |
Cl II     |        331.543  |        331.5434 |   1900 | 1.1e+08    | D    |  16.335677    -    20.074208   | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).4d      | 3D*     | 2   |   3 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |                 |        331.6813 |        | 3.6e+07    | D    |  16.337232    -    20.074208   | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).4d      | 3D*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl III    |        332.057  |        332.047  |    700 | 1.9e+08    | D    |  22.202495    -    25.93536?   | 3s2.3p2.(3P).4s  | 2P   | 3/2 | 3s2.3p2.(3P).4p       | 2P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |   L495  |
Cl III    |        332.906  |        332.8933 |    800 | 2.9e+07    | E    |  21.584784    -    25.308155   | 3s2.3p2.(3P).4s  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |   L480  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
