---------------------------------------------------------------------------------------
Configuration          | Term      |   J |            Level (eV) |   Landé | Reference
3s2.3p5.(2P*<3/2>).13p | 2[3/2]    |   2 |         15.65392      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).13p | 2[1/2]    |   0 |         15.65550      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12d | 2[1/2]*   |   0 |         15.656894     |         |          
                       |           |   1 |         15.658293     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7f  | 2[7/2]    |   3 |         15.658563     |         |          
                       |           |   4 |         15.658564     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7f  | 2[5/2]    |   3 |         15.658580     |         |          
                       |           |   2 |         15.6586       |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12d | 2[7/2]*   |   4 |         15.658675     |         |          
                       |           |   3 |         15.659853     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7h  | 2[11/2]   |   6 |         15.659364     |         |          
                       |           |   5 |         15.659364     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7h  | 2[9/2]    |   5 |         15.659394     |         |          
                       |           |   4 |         15.659394     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12d | 2[3/2]*   |   2 |         15.659522     |         |          
                       |           |   1 |         15.66344      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12d | 2[5/2]*   |   2 |         15.660823     |         |          
                       |           |   3 |         15.661188     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).14s | 2[3/2]*   |   2 |         15.662767     |         |          
                       |           |   1 |         15.66317      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12f | 2[3/2]    |   1 |         15.66482      |         |          
                       |           |   2 |         15.66482      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).12f | 2[5/2]    |   2 |         15.66490      |         |          
                       |           |   3 |         15.66490      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).14p | 2[5/2]    |   2 |         15.66995      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).14p | 2[3/2]    |   2 |         15.67036      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).13d | 2[1/2]*   |   1 |         15.673207     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).13d | 2[7/2]*   |   4 |         15.674054     |         |          
                       |           |   3 |         15.674827     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).13d | 2[3/2]*   |   2 |         15.674169     |         |          
                       |           |   1 |         15.67754      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).13d | 2[5/2]*   |   2 |         15.675582     |         |          
                       |           |   3 |         15.675992     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).15s | 2[3/2]*   |   1 |         15.67754      |         |          
                       |           |     |                       |         |           
