---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |           Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                             | Reference
                      |         | 11/2 |   12 |         3.13102960   |          0.00000025  |   1.41    |  94         :     4  3d3.(4F).4s.4p.(3P*)  6F*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(5D).4p           | y 4F*   |  3/2 |    4 |         3.21497769   |          0.00000025  |   0.42    |  74         :    18  3d3.(4F).4s.4p.(1P*)  4F*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.22411408   |          0.00000013  |   0.98    |  71         :    18  3d3.(4F).4s.4p.(1P*)  4F*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.23872686†  |          0.00000015  |   1.15    |  62         :    10  3d3.(4F).4s.4p.(1P*)  4F*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.24490425   |          0.00000013  |   1.23    |  59         :    10  3d3.(4F).4s.4p.(3P*)  2G*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 2G*   |  7/2 |    8 |         3.22630525   |          0.00000025  |   0.92    |  92         :     2  3d4.(3F2).4p          2G*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.26635153   |          0.00000014  |   1.13    |  83         :     7  3d4.(5D).4p           4F*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(5D).4p           | y 4D*   |  1/2 |    2 |         3.24623323   |          0.00000017  |  -0.06    |  61         :    32  3d3.(4F).4s.4p.(1P*)  4D*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         3.25452021   |          0.00000017  |   1.17    |  61         :    32  3d3.(4F).4s.4p.(1P*)  4D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.26731018   |          0.00000017  |   1.34    |  61         :    31  3d3.(4F).4s.4p.(1P*)  4D*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.28313701†  |          0.00000025  |   1.39    |  58         :    21  3d3.(4F).4s.4p.(1P*)  4D*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(1D2).4s          | 2D      |  5/2 |    6 |         3.2478940    |          0.0000007   |           |  89         :     5  3d3.4s2               2D1  |        L15916,L20010
