--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |           Level (eV) |     Uncertainty (eV) |   Landé | Leading percentages                                | Reference
3d3.(2G).4p          | z 1F*     |   3 |    7 |         6.14570663   |          0.00000017  |   0.97  |  62         :    21  3d3.(2G).4p          3F*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2G).4p          | z 1H*     |   5 |   11 |         6.14879909   |          0.00000015  |   0.95  |  72         :    23  3d3.(2H).4p          1H*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2G).4p          | z 1G*     |   4 |    9 |         6.16495013   |          0.00000020  |   0.96  |  79         :    15  3d3.(2G).4p          3F*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4P).4p          | z 5S*     |   2 |    5 |         6.1659062    |          0.0000006   |         |  77         :    10  3d3.(2P).4p          1D*      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2P).4p          | z 1D*     |   2 |    5 |         6.18659594   |          0.00000020  |   0.93  |  39         :    20  3d3.(2D2).4p         1D*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2P).4p          | y 3D*     |   1 |    3 |         6.2579628    |          0.0000005   |   0.49  |  34         :    29  3d3.(2P).4p          3P*      | L20009,L8201
                     |           |   2 |    5 |         6.29536565   |          0.00000024  |   1.11  |  61         :    25  3d3.(4P).4p          3D*      | L20009,L8201
                     |           |   3 |    7 |         6.33382868   |          0.00000023  |   1.27  |  59         :    29  3d3.(4P).4p          3D*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2P).4p          | y 3P*     |   0 |    1 |         6.2813324    |          0.0000004   |         |  65         :    22  3d3.(2D2).4p         3P*      |       L20009
                     |           |   1 |    3 |         6.2908170    |          0.0000004   |   1.39  |  32         :    31  3d3.(2P).4p          3D*      | L20009,L8201
                     |           |   2 |    5 |         6.3384812    |          0.0000005   |   1.51  |  60         :    24  3d3.(2D2).4p         3P*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | e 1D1     |   2 |    5 |         6.3172102    |          0.0000025   |         |  48         :    26  3d2.4s2              1D       |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2H).4p          | y 3H*     |   4 |    9 |         6.4574547    |          0.0000003   |   0.70  |  84         :    14  3d3.(2G).4p          3H*      | L20009,L8201
                     |           |   5 |   11 |         6.46621086   |          0.00000021  |   0.98  |  85         :    14  3d3.(2G).4p          3H*      | L20009,L8201
                     |           |   6 |   13 |         6.47850262   |          0.00000024  |   1.04? |  85         :    14  3d3.(2G).4p          3H*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2P).4p          | z 3S*     |   1 |    3 |         6.4696447    |          0.0000004   |   1.85  |  85         :    10  3d3.(4P).4p          3S*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4p         | x 3F*     |   2 |    5 |         6.4776453    |          0.0000004   |   0.68  |  53         :    17  3d3.(2D1).4p         3F*      | L20009,L8201
                     |           |   3 |    7 |         6.4957754    |          0.0000003   |   1.07  |  33         :    33  3d3.(4P).4p          3D*      | L20009,L8201
                     |           |   4 |    9 |         6.5286965    |          0.0000003   |   1.18? |  63         :    20  3d3.(2D1).4p         3F*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4P).4p          | x 3D*     |   1 |    3 |         6.5220922    |          0.0000005   |   0.63  |  56         :    19  3d3.(2P).4p          3D*      | L20009,L8201
                     |           |   2 |    5 |         6.5339755    |          0.0000004   |   1.10  |  54         :    26  3d3.(2P).4p          3D*      | L20009,L8201
                     |           |   3 |    7 |         6.5423206    |          0.0000003   |   1.26  |  27         :    28  3d3.(2D2).4p         3F*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4p         | z 1P*     |   1 |    3 |         6.5468363    |          0.0000005   |   0.92  |  50         :    20  3d3.(2D1).4p         1P*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2H).4p          | z 3I*     |   5 |   11 |         6.5560400    |          0.0000006   |   0.84? |  99                                                | L20009,L8201
                     |           |   6 |   13 |         6.58068823   |          0.00000024  |   0.98  | 100                                                | L20009,L8201
                     |           |   7 |   15 |         6.6107802    |          0.0000004   |   1.11? | 100                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d2.4s2              | d 1G      |   4 |    9 |         6.646446     |          0.000003    |         |  96                                                |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4p         | w 3D*     |   1 |    3 |         6.6643476    |          0.0000004   |   0.49? |  65         :    19  3d3.(2D1).4p         3D*      | L20009,L8201
                     |           |   2 |    5 |         6.6788639    |          0.0000004   |   1.10  |  68         :    19  3d3.(2D1).4p         3D*      | L20009,L8201
                     |           |   3 |    7 |         6.6861207    |          0.0000003   |   1.37  |  71         :    19  3d3.(2D1).4p         3D*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2H).4p          | y 1G*     |   4 |    9 |         6.71302409   |          0.00000023  |   1.00  |  83         :    11  3d3.(2F).4p          1G*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4p         | x 3P*     |   2 |    5 |         6.7838805    |          0.0000004   |         |  41         :    30  3d3.(2P).4p          3P*      |       L20009
                     |           |   1 |    3 |         6.7841578    |          0.0000007   |         |  39         :    26  3d3.(2P).4p          3P*      |       L20009
                     |           |   0 |    1 |         6.7960061    |          0.0000021   |         |  43         :    29  3d3.(2P).4p          3P*      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4p         | y 1F*     |   3 |    7 |         6.8367459    |          0.0000003   |   0.94  |  52         :    19  3d3.(2H).4p          3G*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2H).4p          | x 3G*     |   5 |   11 |         6.8447784    |          0.0000003   |   1.15  |  67         :    20  3d3.(2H).4p          1H*      | L20009,L8201
                     |           |   4 |    9 |         6.8568700    |          0.0000003   |   1.02  |  90                                                | L20009,L8201
                     |           |   3 |    7 |         6.8624890    |          0.0000004   |   0.82  |  73         :    14  3d3.(2D2).4p         1F*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2H).4p          | z 1I*     |   6 |   13 |         6.86914836   |          0.00000019  |   1.01? |  99                                                | L20009,L8201
