------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |          Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
                      |        |   4 |    9 |        5.61474401   |          0.00000019  |           |  50             :    23  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |   5 |   11 |        5.61727041   |          0.00000020  |   1.41    |  37  5G*        :    34                        5F*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4G).4p           | z 3H*  |   6 |   13 |        5.62251959   |          0.00000020  |           |  68             :    16  3d5.(4G).4p           5H*  |     L18327,L7185
                      |        |   5 |   11 |        5.62319789   |          0.00000020  |           |  49             :    32  3d5.(4G).4p           5H*  |     L18327,L7185
                      |        |   4 |    9 |        5.62374759   |          0.00000020  |           |  59             :    25  3d5.(4G).4p           5H*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4G).4p           | y 5H*  |   3 |    7 |        5.6494644    |          0.0000003   |   0.52    |  76             :    22  3d4.(3H).4s.4p.(3P*)  5H*  |     L18327,L7185
                      |        |   4 |    9 |        5.65551987   |          0.00000021  |           |  51             :    28  3d5.(4G).4p           3H*  |     L18327,L7185
                      |        |   5 |   11 |        5.66152238   |          0.00000023  |           |  43             :    38  3d5.(4G).4p           3H*  |     L18327,L7185
                      |        |   6 |   13 |        5.66698612   |          0.00000023  |           |  58             :    20  3d5.(4G).4p           3H*  |     L18327,L7185
                      |        |   7 |   15 |        5.6712195    |          0.0000003   |   1.29    |  74             :    25  3d4.(3H).4s.4p.(3P*)  5H*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).6s           | f 7S   |   3 |    7 |        5.6590394    |          0.0000021   |   2.05    |                                                     |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4P).4p           | y 3P*  |   1 |    3 |        5.66846040   |          0.00000023  |           |  45             :    24  3d4.(3P1).4s.4p.(3P*) 3P*  |     L18327,L7185
                      |        |   0 |    1 |        5.6688702    |          0.0000009   |           |  39             :    31  3d4.(3P1).4s.4p.(3P*) 3P*  |     L18327,L7185
                      |        |   2 |    5 |        5.67032639   |          0.00000019  |           |  49             :    20  3d4.(3P1).4s.4p.(3P*) 3P*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4G).4p           | y 3F*  |   2 |    5 |        5.6991022    |          0.0000003   |           |  75             :     8  3d4.(3F1).4s.4p.(3P*) 3F*  |     L18327,L7185
                      |        |   3 |    7 |        5.7033253    |          0.0000003   |           |  80             :     8  3d4.(3F1).4s.4p.(3P*) 3F*  |     L18327,L7185
                      |        |   4 |    9 |        5.71048871   |          0.00000021  |           |  83             :     7  3d4.(3F1).4s.4p.(3P*) 3F*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
