-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.     |         Ritz          |    Unc.     |    Rel. |     Aki      | Acc. |             Ei           Ek             |             Lower level              |                Upper level                |  gi   gk  |Type|      TP  |          Line  |
          |      Wavelength       |     (nm)    |      Wavelength       |     (nm)    |    Int. |    (s^-1)    |      |            (eV)         (eV)            |--------------------------------------|-------------------------------------------|           |    |     Ref. |          Ref.  |
          |       Vac (nm)        |             |       Vac (nm)        |             |         |              |      |                                         | Conf.                | Term    | J   | Conf.                | Term     | J       |           |    |          |                |
Ag II     |          102.15493    |   0.00005   |          102.15491    |  0.00005    |   12000 | 1.2e+08      | D+   |      5.05178168    -      17.188662     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 3       |   5 - 7   |    |    T9142 |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |          102.83243    |   0.00005   |          102.83239    |  0.00005    |   14000 |              |      |      5.42340791    -      17.480329     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 1   | 4d8.(3P).5s.5p.(3P*) | 5P*      | 1       |   3 - 3   |    |          |    L11881c113  |
Ag II     |          102.85770    |   0.00005   |          102.85769    |  0.00005    |    6300 |              |      |      5.42340791    -      17.477363     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 1   | 4d8.(3P).5s.5p.(3P*) | 5P*      | 2       |   3 - 5   |    |          |    L11881c113  |
Ag II     |          103.15741    |   0.00005   |          103.157619   |  0.000010   |    4500 |              |      |      4.85621528    -      16.8751237    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 5F*      | 4       |   7 - 9   |    |          |    L11881c113  |
Ag II     |          103.38811    |   0.00005   |          103.388145   |  0.000011   |    4600 |              |      |      5.05178168    -      17.0438914    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<3/2>).6p     | 2[3/2]*  | 2       |   5 - 5   |    |          |    L11881c113  |
Ag II     |          103.42345    |   0.00005   |          103.423469   |  0.000013   |    8800 |              |      |      5.05178168    -      17.0397956    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 5F*      | 3       |   5 - 7   |    |          |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |          103.64837    |   0.00005   |          103.648380   |  0.000008   |    1600 |              |      |      5.05178168    -      17.0137823    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<3/2>).6p     | 2[3/2]*  | 1       |   5 - 3   |    |          |    L11881c113  |
Ag II     |          103.70110    |   0.00005   |          103.70093    |  0.00003    |    6300 |              |      |      5.05178168    -      17.007721     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<3/2>).6p     | 2[5/2]*  | 3       |   5 - 7   |    |          |    L11881c113  |
Ag II     |          103.84537    |   0.00012   |          103.84540    |  0.00006    |     600 |              |      |      5.70935604    -      17.648662     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 1       |   5 - 3   |    |          |    L11881c113  |
Ag II     |          103.89900    |   0.00005   |          103.899013   |  0.000010   |     910 |              |      |      4.85621528    -      16.7893603    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 5G*      | 2       |   7 - 5   |    |          |    L11881c113  |
Ag II     |          104.07217    |   0.00005   |          104.072178   |  0.000015   |    3100 |              |      |      5.05178168    -      16.9650712    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<3/2>).6p     | 2[1/2]*  | 1       |   5 - 3   |    |          |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |          104.30659    |   0.00005   |          104.30655    |  0.00005    |    3400 |              |      |      5.70935604    -      17.595877     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3F*      | 3       |   5 - 7   |    |          |    L11881c113  |
Ag II     |          104.41292    |   0.00008   |          104.412986   |  0.000019   |     340 |              |      |      5.05178168    -      16.9261858    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<3/2>).6p     | 2[5/2]*  | 2       |   5 - 5   |    |          |    L11881c113  |
Ag II     |          104.72603    |   0.00005   |          104.72600    |  0.00005    |    2900 |              |      |      5.42340791    -      17.262321     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 1   | 4d8.(3F).5s.5p.(3P*) | 3D*      | 2       |   3 - 5   |    |          |    L11881c113  |
Ag II     |          105.06948    |   0.00006   |          105.069479   |  0.000008   |    2300 |              |      |      4.85621528    -      16.6564259    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 5G*      | 3       |   7 - 7   |    |          |    L11881c113  |
Ag II     |          105.63027    |   0.00006   |          105.630133   |  0.000010   |    2500 |              |      |      5.05178168    -      16.7893603    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 5G*      | 2       |   5 - 5   |    |          |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
