---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |    Rel. |     Aki     | Acc. |        Ei           Ek        |             Lower level             |               Upper level                |  gi   gk  |Type|    TP  |       Line  |
          |     Wavelength     |     Wavelength     |    Int. |   (s^-1)    |      |       (eV)         (eV)       |-------------------------------------|------------------------------------------|           |    |   Ref. |       Ref.  |
          |      Air (nm)      |      Air (nm)      |         |             |      |                               | Conf.            | Term      | J    | Conf.                | Term       | J    |           |    |        |             |
W III     |         202.5468   |         202.5462   |      5d | 8.6e+06     | C    |   2.278383    -    8.397690   | 5d4              | 3F2       | 4    | 5d3.(4F).6p          | 5F*        | 5    |   9 - 11  |    |  T7469 |     L10405  |
W II      |         202.5471   |         202.54634  |    25bl |             |      |   1.40114839  -    7.5204524  | 5d3.6s2          | 4F        | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |      L6520  |
W III     |         202.5652   |         202.5647   |      40 | 4.1e+06     | C    |   2.278941    -    8.397690   | 5d4              | 3H        | 6    | 5d3.(4F).6p          | 5F*        | 5    |  13 - 11  |    |  T7469 |     L10405  |
W II      |         202.5655   |         202.56724  |    25bl |             |      |   1.84205306  -    7.9607259  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |      L6520  |
W III     |         202.5908   |         202.5908   |      80 |             |      |   2.861657    -    8.979619   | 5d3.(4P).6s      | 5P        | 1    | 5d3.(4F).6p          | 5D*        | 1    |   3 - 3   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         202.59558  |         202.59543  |       3 |             |      |   2.38997283  -    8.5077944  |                  |           | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W II      |         202.60032  |         202.60032  |       4 |             |      |   1.85576385  -    7.9734379  |                  |           | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
W II      |         202.608751 |         202.608751 |      71 |             |      |   0.58474394  -    6.7021634  | 5d4.(5D).6s      | 6D        | 7/2  |                      |            | 9/2  |   8 - 10  |    |        |     L11762  |
W III     |         202.6142   |         202.6144   |      5w |             |      |   3.694836    -    9.812086   | 5d3.(2P).6s      | 3P        | 2    |                      |            | 3    |   5 - 7   |    |        |     L10405  |
W III     |         202.7169   |         202.7168   |      20 |             |      |   3.036445    -    9.150603   |                  |           | 2    |                      |            | 1    |   5 - 3   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         202.72939  |         202.72935  |       9 |             |      |   2.97008472  -    9.0838655  |                  |           | 11/2 |                      |            | 11/2 |  12 - 12  |    |        |     L11762  |
W II      |         202.73324  |         202.733206 |      13 |             |      |   0.58474394  -    6.6984086  | 5d4.(5D).6s      | 6D        | 7/2  |                      |            | 5/2  |   8 - 6   |    |        |     L11762  |
W II      |         202.75709  |         202.75710  |       6 |             |      |   1.66286849  -    7.7758126  | 5d3.6s2          | 4F        | 7/2  | 5d3.(4P).6s.(5P).6p  | 6D*        | 9/2  |   8 - 10  |    |        |     L11762  |
W III     |         202.7724   |         202.7722   |      1d |             |      |   4.491509    -   10.603998   |                  |           | 3    |                      |            | 2    |   7 - 5   |    |        |     L10405  |
W II      |         202.78935  |         202.789206 |       3 |             |      |   1.08006032  -    7.1920369  | 5d3.6s2          | 4F        | 3/2  |                      |            | 3/2  |   4 - 4   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         202.8142   |         202.81305  |       9 |             |      |   1.66561239  -    7.7768703  |                  |           | 5/2  |                      |            | 3/2  |   6 - 4   |    |        |      L6520  |
W II      |         202.8262   |         202.82624  |      15 |             |      |   1.85576385  -    7.9666247  |                  |           | 5/2  |                      |            | 3/2  |   6 - 4   |    |        |      L6520  |
W III     |         202.8482   |         202.8480   |     100 |             |      |   3.869765    -    9.979970   | 5d3.(2G).6s      | 3G        | 5    | 5d3.(4F).6p          | 3G*        | 5    |  11 - 11  |    |        |     L10405  |
W II      |         202.85181  |         202.85174  |       2 |             |      |   1.63328561  -    7.7433784  | 5d4.(5D).6s      | 4D        | 1/2  |                      |            | 3/2  |   2 - 4   |    |        |     L11762  |
W II      |         202.91227  |         202.912259 |       9 |             |      |   2.16190402  -    8.2701746  | 5d4.(3H).6s      | 4H        | 11/2 |                      |            | 11/2 |  12 - 12  |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         202.999476 |         202.999476 |      82 |             |      |   0.76214140  -    6.8677880  | 5d4.(5D).6s      | 6D        | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |     L11762  |
W I       |         203.019    |                    |       2 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W II      |         203.0321   |         203.03107  |      25 |             |      |   3.12554652  -    9.2302430  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |      L6520  |
W I       |         203.036    |         203.0380   |       2 |             |      |   0.771099    -    6.875587   | 5d4.6s2          | 5D        | 4    |                      | *          | 5    |   9 - 11  |    |        |       L153  |
W III     |         203.0744   |         203.0739   |     100 | 4.36e+07    | B    |   1.359926    -    7.463335   | 5d3.(4F).6s      | 5F        | 1    | 5d3.(4F).6p          | 5F*        | 1    |   3 - 3   |    |  T7469 |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         203.08804  |         203.087994 |       4 |             |      |   1.31330075  -    7.4162865  |                  |           | 3/2  |                      |            | 3/2  |   4 - 4   |    |        |     L11762  |
W II      |         203.10079  |         203.10086  |      3p |             |      |   2.01284811  -    8.1154471  |                  |           | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W III     |         203.1220   |         203.1216   |      80 |             |      |   3.947481    -   10.049456   |                  |           | 1    |                      |            | 1    |   3 - 3   |    |        |     L10405  |
W III     |         203.1389   |         203.1385   |      2d |             |      |   3.296559    -    9.398027   | 5d4              | 1G2       | 4    |                      |            | 5    |   9 - 11  |    |        |     L10405  |
W II      |         203.14631  |         203.14630  |      21 |             |      |   1.87798579  -    7.9792200  | 5d4.(3H).6s      | 4H        | 7/2  |                      |            | 7/2  |   8 - 8   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W III     |         203.1588   |         203.1587   |      40 |             |      |   3.036445    -    9.137307   |                  |           | 2    | 5d3.(4P).6p          | 5D*        | 3    |   5 - 7   |    |        |     L10405  |
W III     |         203.1858   |         203.1857   |       1 |             |      |   6.323533    -   12.423584   | 5d2.6s2          | 3F        | 3    |                      |            | 4    |   7 - 9   |    |        |     L10405  |
W III     |         203.2170   |         203.2177   |      5d |             |      |   3.782419    -    9.881510   | 5d3.(2G).6s      | 3G        | 4    | 5d3.(4P).6p          | 5P*        | 3    |   9 - 7   |    |        |     L10405  |
