-----------------------------------------------------------------------------------------------------------
Configuration       | Term   |   J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
                    | 16*    |   0 |    1 |        5.8674693   |                    |    0.00  |          
                    |        |     |      |                    |                    |          |           
                    | 17*    |   1 |    3 |        5.8771168   |                    |    0.889 |          
                    |        |     |      |                    |                    |          |           
                    | 17.1*  |   4 |    9 |        5.8779895   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 18*    |   5 |   11 |        5.8882069   |                    |    1.112 |          
                    |        |     |      |                    |                    |          |           
                    | 18.1*  |   7 |   15 |        5.8968892   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 19*    |   2 |    5 |        5.9001063   |                    |    1.12  |          
                    |        |     |      |                    |                    |          |           
                    | 19.1*  |   3 |    7 |        5.9055716   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 20*    |   4 |    9 |        5.9153914   |                    |    1.056 |          
                    |        |     |      |                    |                    |          |           
                    | 21*    |   1 |    3 |        5.915763?   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | v 3D*  |   1 |    3 |        5.9238858   |                    |    0.076 |          
                    |        |   2 |    5 |        5.9618026   |                    |    1.044 |          
                    |        |   3 |    7 |        5.9767687   |                    |    1.37  |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | u 5F*  |   2 |    5 |        5.9298159   |                    |    1.09  |          
                    |        |   1 |    3 |        5.9539892   |                    |    0.29  |          
                    |        |   3 |    7 |        5.9547357   |                    |    1.283 |          
                    |        |   4 |    9 |        5.9750476   |                    |    1.293 |          
                    |        |   5 |   11 |        6.0191079   |                    |    1.370 |          
                    |        |     |      |                    |                    |          |           
                    | 22*    |   3 |    7 |        5.9324390   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(2I).5p         | y 3H*  |   4 |    9 |        5.9359613   |                    |          |          
                    |        |   5 |   11 |        5.9746936   |                    |    1.206 |          
                    |        |   6 |   13 |        6.0008611   |                    |    1.195 |          
                    |        |     |      |                    |                    |          |           
                    | 23*    |   2 |    5 |        5.956063?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 24*    |   6 |   13 |        5.9661766   |                    |    1.20  |          
                    |        |     |      |                    |                    |          |           
4d5.(2F).5p         | v 3F*  |   2 |    5 |        5.9807755   |                    |    0.758 |          
                    |        |   3 |    7 |        6.0007045   |                    |    1.174 |          
                    |        |     |      |                    |                    |          |           
4d5.(6S).7s         | f 7S   |   3 |    7 |        5.9968508   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | v 5D*  |   2 |    5 |        6.0019122   |                    |    1.440 |          
                    |        |   1 |    3 |        6.002184?   |                    |          |          
                    |        |   3 |    7 |        6.0172158   |                    |    1.496 |          
                    |        |   4 |    9 |        6.0591661   |                    |    1.454 |          
                    |        |     |      |                    |                    |          |           
                    | 24.1*  |   4 |    9 |        6.0047356   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(2G).5p         | x 3H*  |   4 |    9 |        6.0283691   |                    |    0.926 |          
                    |        |   5 |   11 |        6.0527786   |                    |    0.972 |          
                    |        |   6 |   13 |        6.0828829   |                    |    1.108 |          
                    |        |     |      |                    |                    |          |           
4d5.(6S).7s         | f 5S   |   2 |    5 |        6.0432717   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 25*    |   1 |    3 |        6.0473626   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 25.1*  |   7 |   15 |        6.0493556   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4G).5p      | x 5G*  |   2 |    5 |        6.0598284   |                    |          |          
                    |        |   3 |    7 |        6.0748820   |                    |    0.60  |          
                    |        |   4 |    9 |        6.0934208   |                    |    1.164 |          
                    |        |   5 |   11 |        6.1126782   |                    |    1.25  |          
                    |        |   6 |   13 |        6.1258769   |                    |    1.150 |          
                    |        |     |      |                    |                    |          |           
4d5.(2I).5p         | z 1H*  |   5 |   11 |        6.0655782   |                    |    0.970 |          
                    |        |     |      |                    |                    |          |           
                    | 26*    |   1 |    3 |        6.0697371   |                    |    0.77  |          
                    |        |     |      |                    |                    |          |           
                    | 26.1*  |   2 |    5 |        6.0849794   |                    |          |          
                    |        |     |      |                    |                    |          |           
