--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration              | Term        |   J |    g |                   Level (eV)   |   Uncertainty (eV) | Leading percentages                       | Reference
3s2.3p.7d                  | 3F*         |   2 |    5 |          7.836408              |                    |  60                  :    30  3p.7d  1D*  |     L5815
                           |             |   3 |    7 |          7.853246              |                    |  86                  :     5  3p.7d  1F*  |     L5815
                           |             |   4 |    9 |          7.8747985             |                    |  98                  :     1  3p.6d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).8p<3/2>  | (1/2,3/2)   |   2 |    5 |          7.83896               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.7d                  | 1D*         |   2 |    5 |          7.855173              |                    |  54                  :    34  3p.7d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.7d                  | 1P*         |   1 |    3 |          7.871376              |                    |  50                  :    34  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).7f       | 2[7/2]      |   3 |    7 |          7.871510?             |                    |                                           |     L5815
                           |             |   4 |    9 |          7.871622              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).7f       | 2[5/2]      |   2 |    5 |          7.871687?             |                    |                                           |     L5815
                           |             |   3 |    7 |          7.871839?             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.7d                  | 3D*         |   2 |    5 |          7.882339              |                    |  51  3p.nd           :    39  3p.nd  3P*  |     L5815
                           |             |   1 |    3 |          7.904041              |                    |  51  3p.nd           :    38  3p.7d  1P*  |     L5815
                           |             |   3 |    7 |          7.905262              |                    |  69  3p.nd           :    23  3p.7d  1F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).9s<1/2>  | (1/2,1/2)*  |   0 |    1 |          7.882525              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.883439              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).8p<3/2>  | (3/2,3/2)   |   0 |    1 |          7.88770               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.7d                  | 1F*         |   3 |    7 |          7.890574              |                    |  62  3p.nd           :    24  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).7f       | 2[7/2]      |   3 |    7 |          7.905505              |                    |                                           |     L5815
                           |             |   4 |    9 |          7.905596              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          7.906507              |                    |  35  3P*             :    31  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).7f       | 2[5/2]      |   3 |    7 |          7.906880              |                    |                                           |     L5815
                           |             |   2 |    5 |          7.906916              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).7f       | 2[9/2]      |   5 |   11 |          7.907956              |                    |                                           |     L5815
                           |             |   4 |    9 |          7.908123              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).7f       | 2[3/2]      |   1 |    3 |          7.909388              |                    |                                           |     L5815
                           |             |   2 |    5 |          7.909486              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.7d                  | 3P*         |   1 |    3 |          7.915728              |                    |  81  3p.nd           :    12  3p.nd  3D*  |     L5815
                           |             |   0 |    1 |          7.918102?             |                    |  97                  :     3  3s.3p3 3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.8d                  | 3F*         |   2 |    5 |          7.917685              |                    |  51                  :    13  3p.8d  1D*  |     L5815
                           |             |   3 |    7 |          7.928182              |                    |  76                  :     6  3p.8d  1F*  |     L5815
                           |             |   4 |    9 |          7.951594              |                    |  98                  :     1  3p.7d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).9s<1/2>  | (3/2,1/2)*  |   2 |    5 |          7.918107              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.920682              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.8d                  | 1D*         |   2 |    5 |          7.933832              |                    |  54                  :    21  3p.8d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.8d                  | 1P*         |   1 |    3 |          7.937520              |                    |  49  3p.nd           :    40  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).10s<1/2> | (1/2,1/2)*  |   0 |    1 |          7.944875              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.945635              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          7.947992              |                    |  40  3P*             :    38  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.8d                  | 1F*         |   3 |    7 |          7.958273              |                    |  48  3p.nd           :    26  3p.nd  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.9d                  | 3F*         |   2 |    5 |          7.965154              |                    |  57                  :    19  3p.9d  1D*  |     L5815
                           |             |   3 |    7 |          7.978622              |                    |  60                  :     8  3p.8d  3D*  |     L5815
                           |             |   4 |    9 |          8.003226?             |                    |  98                  :     1  3p.8d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).8d<5/2>  | (3/2,5/2)*  |   1 |    3 |          7.970625              |                    |  50  1P*             :    42  3p.nd  3D*  |     L5815
                           |             |   3 |    7 |          7.971596              |                    |  60  3D*             :    38  3p.nd  1F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          7.975000              |                    |  40  3D*             :    37  3p.nd  3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).8d<3/2>  | (3/2,3/2)*  |   1 |    3 |          7.976872              |                    |  78  3P*             :    18  3p.nd  3D*  |     L5815
                           |             |   0 |    1 |          7.979440              |                    |  98  3P*             :     2  3s.3p3 3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).10s<1/2> | (3/2,1/2)*  |   2 |    5 |          7.980451              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.981629              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).9d<3/2>  | (1/2,3/2)*  |   1 |    3 |          7.983796              |                    |  42  3D*             :    42  3p.nd  1P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          7.984358              |                    |  38  1D*             :    30  3p.nd  3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).11s<1/2> | (1/2,1/2)*  |   0 |    1 |          7.987802              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.988554              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          7.995582              |                    |  42  1D*             :    29  3p.nd  3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.10d                 | 3F*         |   2 |    5 |          8.003609              |                    |  68                  :    16  3p.10d 1D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).10d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.013820              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.015173              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.015264              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).9d<5/2>  | (3/2,5/2)*  |   1 |    3 |          8.016195              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.017071              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).12s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.018630              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.019165              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.020261              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
