-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |    Aki     | Acc. |         Ei           Ek         |                 Lower level                  |                  Upper level                  |  gi   gk  |   Type|                                      TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)   |      |        (eV)         (eV)        |----------------------------------------------|-----------------------------------------------|           |       |                                     Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |       |            |      |                                 | Conf.                     | Term       | J   | Conf.                     | Term       | J    |           |       |                                          |         |
Si XII    |                 |          2.7914 |       | 1.90e+10   | B    |    24.8263     -    469.00      | 1s2.2p                    | 2P*        | 3/2 | 1s2.6d                    | 2D         | 3/2  |   4 - 4   |       |                              T5118c63,LS |         |
Si XIII   |                 |          2.8163 |       | 3.45e+11   | B+   | [1853.534]     -  [2293.7791]   | 1s.2p                     | 3P*        | 0   | 1s.4d                     | 3D         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.8177 |       | 2.57e+11   | B+   | [1853.7553]    -  [2293.7791]   | 1s.2p                     | 3P*        | 1   | 1s.4d                     | 3D         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.8177 |       | 4.63e+11   | B+   | [1853.7553]    -  [2293.7791]   | 1s.2p                     | 3P*        | 1   | 1s.4d                     | 3D         | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.8217 |       | 2.74e+11   | B+   | [1854.6490]    -  [2294.0469]   | 1s.2s                     | 1S         | 0   | 1s.4p                     | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.8231 |       | 6.16e+11   | A    | [1854.6413]    -  [2293.8225]   | 1s.2p                     | 3P*        | 2   | 1s.4d                     | 3D         | 3    |   5 - 7   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.8234 |       | 1.70e+10   | B+   | [1854.6413]    -  [2293.7791]   | 1s.2p                     | 3P*        | 2   | 1s.4d                     | 3D         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.8234 |       | 1.53e+11   | B+   | [1854.6413]    -  [2293.7791]   | 1s.2p                     | 3P*        | 2   | 1s.4d                     | 3D         | 2    |   5 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.8332 |       | 1.01e+10   | B+   | [1853.534]     -  [2291.1522]   | 1s.2p                     | 3P*        | 0   | 1s.4s                     | 3S         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.8346 |       | 3.03e+10   | B+   | [1853.7553]    -  [2291.1522]   | 1s.2p                     | 3P*        | 1   | 1s.4s                     | 3S         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.8403 |       | 5.02e+10   | B+   | [1854.6413]    -  [2291.1522]   | 1s.2p                     | 3P*        | 2   | 1s.4s                     | 3S         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
