-------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |                Level (eV)  |   Uncertainty (eV) | Leading percentages                        | Reference
3s2.3p3.(2D*).4f      | bD     |   2 |    5 |        22.605311           |                    |  39         :    37  3s2.3p3.(2D*).4f 3D   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).5s      | 3P*    |   0 |    1 |        22.607259           |                    | 100                                        |          
                      |        |   1 |    3 |        22.611545           |                    |  99                                        |          
                      |        |   2 |    5 |        22.621010           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7f      | 5F     |   5 |   11 |        22.685747           |                    |                                            |          
                      |        |   2 |    5 |        22.685848           |                    |                                            |          
                      |        |   3 |    7 |        22.685848           |                    |                                            |          
                      |        |   1 |    3 |        22.685848           |                    |                                            |          
                      |        |   4 |    9 |        22.685848           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7f      | 3F     |   2 |    5 |        22.690079           |                    |                                            |          
                      |        |   3 |    7 |        22.690083           |                    |                                            |          
                      |        |   4 |    9 |        22.690108           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7g      | 3G*    |   4 |    9 |        22.700221           |                    |                                            |          
                      |        |   3 |    7 |        22.700221           |                    |                                            |          
                      |        |   5 |   11 |        22.700338           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7g      | 5G*    |   6 |   13 |        22.700227           |                    |                                            |          
                      |        |   5 |   11 |        22.700233           |                    |                                            |          
                      |        |   4 |    9 |        22.700235           |                    |                                            |          
                      |        |   3 |    7 |        22.700242           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).5s      | 1P*    |   1 |    3 |        22.732378           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4d      | 3F*    |   4 |    9 |        22.891236           |                    |  98                                        |          
                      |        |   3 |    7 |        22.894596           |                    |  97                                        |          
                      |        |   2 |    5 |        22.894962           |                    |  96                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).8f      | 5F     |   2 |    5 |        22.951199           |                    |                                            |          
                      |        |   5 |   11 |        22.951199           |                    |                                            |          
                      |        |   3 |    7 |        22.951199           |                    |                                            |          
                      |        |   4 |    9 |        22.951199           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).8f      | 3F     |   3 |    7 |        22.954356           |                    |                                            |          
                      |        |   4 |    9 |        22.954359           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).8g      | 5G*    |   3 |    7 |        22.961371           |                    |                                            |          
                      |        |   6 |   13 |        22.961396           |                    |                                            |          
                      |        |   4 |    9 |        22.961406           |                    |                                            |          
                      |        |   5 |   11 |        22.961409           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).8g      | 3G*    |   4 |    9 |        22.961385           |                    |                                            |          
                      |        |   3 |    7 |        22.961385           |                    |                                            |          
                      |        |   5 |   11 |        22.961494           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4d      | 3P*    |   2 |    5 |        23.032192           |                    |  69         :    20  3s2.3p3.(2P*).4d 3D*  |          
                      |        |   1 |    3 |        23.045182           |                    |  94                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4d      | 3D*    |   3 |    7 |        23.044650           |                    |  98                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).9f      | 5F     |   5 |   11 |        23.133046           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).9f      | 3F     |   4 |    9 |        23.135375           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
