----------------------------------------------------------------------------------------------------
Configuration          | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Reference
                       |        |   2 |    5 |        13.59778     |                    |          
                       |        |   3 |    7 |        13.59778     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).27s      | 3S*    |   1 |    3 |        13.59778     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).27d      | 3D*    |   3 |    7 |        13.59936     |                    |          
                       |        |   1 |    3 |        13.59936     |                    |          
                       |        |   2 |    5 |        13.59936     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).28s      | 3S*    |   1 |    3 |        13.59936     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).28d      | 3D*    |   1 |    3 |        13.60056     |                    |          
                       |        |   2 |    5 |        13.60056     |                    |          
                       |        |   3 |    7 |        13.60056     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).29s      | 3S*    |   1 |    3 |        13.60056     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).29d      | 3D*    |   3 |    7 |        13.60174     |                    |          
                       |        |   1 |    3 |        13.60174     |                    |          
                       |        |   2 |    5 |        13.60174     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).30s      | 3S*    |   1 |    3 |        13.60174     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).30d      | 3D*    |   1 |    3 |        13.60277     |                    |          
                       |        |   2 |    5 |        13.60277     |                    |          
                       |        |   3 |    7 |        13.60277     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).31s      | 3S*    |   1 |    3 |        13.60277     |                    |          
-----------------------|--------|-----|------|---------------------|--------------------|-----------
-----------------------|--------|-----|------|---------------------|--------------------|-----------
O II (2p3 4S*<3/2>)    | Limit  | --- |      |        13.618055    |          0.000007  | L74,L3760
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3p       | 1P     |   1 |    3 |        14.0355623   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3p       | 3D     |   3 |    7 |        14.0467668   |                    |          
                       |        |   2 |    5 |        14.0467715   |                    |          
                       |        |   1 |    3 |        14.0472013   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3p       | 3F     |   4 |    9 |        14.0987941   |                    |          
                       |        |   3 |    7 |        14.0996581   |                    |          
                       |        |   2 |    5 |        14.1003713   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2P*).3s       | 3P*    |   2 |    5 |        14.1231586   |                    |          
                       |        |   1 |    3 |        14.1244522   |                    |          
                       |        |   0 |    1 |        14.1252139   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3p       | 1F     |   3 |    7 |        14.1337322   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2P*).3s       | 1P*    |   1 |    3 |        14.3720179   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3p       | 1D     |   2 |    5 |        14.4604126   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).4s       | 3D*    |   3 |    7 |        15.17811     |                    |          
                       |        |   2 |    5 |        15.17978     |                    |          
                       |        |   1 |    3 |        15.18075     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).4s  | 1D*    |   2 |    5 |        15.2249694   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).3d  | 3P*    |   2 |    5 |        15.2868519   |                    |          
                       |        |   1 |    3 |        15.2941341   |                    |          
                       |        |   0 |    1 |        15.2980802   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).3d  | 3F*    |   4 |    9 |        15.4005244   |                    |          
                       |        |   3 |    7 |        15.4011961   |                    |          
                       |        |   2 |    5 |        15.4018276   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3d       | 3G*    |   4 |    9 |        15.4036293   |                    |          
                       |        |   5 |   11 |        15.4038113   |                    |          
                       |        |   3 |    7 |        15.4053993   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).3d  | 1S*    |   0 |    1 |        15.4041161   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).3d  | 3D*    |   3 |    7 |        15.40468     |                    |          
                       |        |   2 |    5 |        15.40599     |                    |          
                       |        |   1 |    3 |        15.40677     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).3d  | 1G*    |   4 |    9 |        15.4061251   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).3d  | 1P*    |   1 |    3 |        15.4080      |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).3d  | 1D*    |   2 |    5 |        15.4136131   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).3d  | 1F*    |   3 |    7 |        15.4145559   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).3d  | 3S*    |   1 |    3 |        15.41574     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).4p       | 3D     |   3 |    7 |        15.5941736   |                    |          
                       |        |   2 |    5 |        15.5950905   |                    |          
                       |        |   1 |    3 |        15.5957252   |                    |          
                       |        |     |      |                     |                    |           
2s.2p5                 | 3P*    |   2 |    5 |        15.6550998   |                    |          
                       |        |   1 |    3 |        15.6641914   |                    |          
                       |        |   0 |    1 |        15.6695879   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2P*).3p       | 3D     |   3 |    7 |        15.7810342   |                    |          
                       |        |   2 |    5 |        15.7817438   |                    |          
                       |        |   1 |    3 |        15.7821516   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2P*).3p       | 1P     |   1 |    3 |        15.8287840   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2P*).3p       | 1D     |   2 |    5 |        15.9437374   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).5s       | 3D*    |   3 |    7 |        15.99133     |                    |          
                       |        |   2 |    5 |        15.99275     |                    |          
                       |        |   1 |    3 |        15.99374     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).5s  | 1D*    |   2 |    5 |        16.0103674   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).4d  | 3F*    |   3 |    7 |                     |                    |          
