------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
Ar XVI    |                       |            |            0.396561   |   0.000022   |           |             |      |    35.0383       -   3161.52        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 2S      | 1/2  |   4 - 2   |       |                    |                 |
Ar XVII   |                       |            |            0.39658575 |   0.00000006 |           |             |      |     0.0000       -  (3126.2898)     | 1s2                   | 1S      | 0    | 1s.2p                  | 3P*     | 2    |   1 - 5   | M2    |                    |                 |
Ar XVI    |                       |            |            0.39676    |   0.00003    |           |             |      |     0.0000       -   3124.92        | 1s2.2s                | 2S      | 1/2  | 1s.(2S).2s.2p.(1P*)    | 2P*     | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.39685    |   0.00003    |           |             |      |     0.0000       -   3124.20        | 1s2.2s                | 2S      | 1/2  | 1s.(2S).2s.2p.(1P*)    | 2P*     | 1/2  |   2 - 2   |       |                    |                 |
Ar XVI    |                       |            |            0.39813    |   0.00003    |           |             |      |     0.0000       -   3114.16        | 1s2.2s                | 2S      | 1/2  | 1s.(2S).2s.2p.(3P*)    | 2P*     | 3/2  |   2 - 4   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVI    |                       |            |            0.398167   |   0.000021   |           |             |      |    31.8672       -   3145.74        | 1s2.2p                | 2P*     | 1/2  | 1s.2p2                 | 2P      | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.39834    |   0.00003    |           |             |      |     0.0000       -   3112.52        | 1s2.2s                | 2S      | 1/2  | 1s.(2S).2s.2p.(3P*)    | 2P*     | 1/2  |   2 - 2   |       |                    |                 |
Ar XVI    |                       |            |            0.398572   |   0.000021   |           |             |      |    31.8672       -   3142.58        | 1s2.2p                | 2P*     | 1/2  | 1s.2p2                 | 2P      | 1/2  |   2 - 2   |       |                    |                 |
Ar XVI    |                       |            |            0.398573   |   0.000021   |           |             |      |    35.0383       -   3145.74        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 2P      | 3/2  |   4 - 4   |       |                    |                 |
