--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
Ti III    |                  210.4857    |                  210.485+    |      4 | 1.1e+08   | D    |      10.035181        -       15.923712       | 3p6.3d.4p             | 3P*        | 1    | 3p6.3d.4d             | 3D         | 1    |       |        T1216 |          L3593  |
Ti III    |                  210.5092    |                  210.510+    |      5 | 1.7e+08   | D    |      10.035885        -       15.923712       | 3p6.3d.4p             | 3P*        | 0    | 3p6.3d.4d             | 3D         | 1    |       |        T1216 |          L3593  |
Ti II     |                  210.83241   |                  210.832412  |     21 |           |      |       3.12352955      -        9.00236539     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 4D*        | 7/2  |       |              |            u37  |
Ti II     |                  210.907     |                  210.906545  |     0: |           |      |       0.02798372      -        5.90475341     | 3d2.(3F).4s           | a 4F       | 7/2  | 3d2.(1G).4p           | x 2F*      | 5/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  211.00597   |                  211.005961  |      8 |           |      |       3.09479323      -        8.96879441     | 3d.4s2                | c 2D       | 3/2  | 3d2.(3F).5p           | 4D*        | 3/2  |       |              |            u37  |
Ti I      |                  211.38076   |                  211.38084   |     00 |           |      |       0.02109378      -        5.8846787      | 3d2.4s2               | a 3F       | 3    | 3d3.(2F).4p           | p 3F*      | 4    |       |              |         L10989  |
Ti II     |                  211.534147  |                  211.534148  |     25 |           |      |       3.12352955      -        8.98286548     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 4D*        | 5/2  |       |              |            u37  |
Ti II     |                  211.614     |                  211.613359  |     0: |           |      |       0.02798372      -        5.88512664     | 3d2.(3F).4s           | a 4F       | 7/2  | 3d2.(1G).4p           | x 2F*      | 7/2  |       |              |          L5432  |
Ti XIV    |                              |                  211.707     |        | 9.1e-02   | D    |       0.00            -        5.8544         | 2s2.2p5               | 2P*        | 3/2  | 2s2.2p5               | 2P*        | 1/2  | E2    |        T3941 |                 |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti XIV    |                  211.715     |                  211.7+      |        | 1.89e+03  | B    |       0.00            -        5.8544         | 2s2.2p5               | 2P*        | 3/2  | 2s2.2p5               | 2P*        | 1/2  | M1    |        T3941 |          L6502  |
Ti I      |                  211.85342   |                  211.85348   |      5 |           |      |       0.000           -        5.8505052      | 3d2.4s2               | a 3F       | 2    | 3d3.(2F).4p           | p 3F*      | 2    |       |              |         L10989  |
Ti II     |                  212.04340   |                  212.043426  |      4 |           |      |       3.12352955      -        8.96879441     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 4D*        | 3/2  |       |              |            u37  |
Ti I      |                  212.19432   |                  212.19416   |      6 |           |      |       0.02109378      -        5.8622068      | 3d2.4s2               | a 3F       | 3    | 3d3.(2F).4p           | p 3F*      | 3    |       |              |         L10989  |
