-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          214.3884    |          214.38860   |         3 |             |      |    13.4797525   -     19.26108400 | 3s.3p6                | 2S      | 1/2  | 3s2.3p4.(3P).4p        | 4P*     | 3/2  |       |                      |  L14821  |
Ar II     |          214.68255   |          214.682568  |        14 |             |      |    19.22290199  -     24.99631786 | 3s2.3p4.(3P).4p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 2F      | 7/2  |       |                      |  L11520  |
Ar II     |          214.7681    |          214.768231  |         2 |             |      |    17.74309086  -     23.51420420 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).5p        | 4D*     | 5/2  |       |                      |  L14821  |
Ar III    |          214.795     |          214.79562   |         6 |             |      |    27.91585928  -     33.6862368  | 3s2.3p3.(2D*).4p      | 3D      | 1    | 3s2.3p3.(2D*).4d       | 3P*     | 0    |       |                      |   L7492  |
Ar III    |          214.83890   |          214.83894   |         4 |             |      |    24.37717932  -     30.1463935  | 3s2.3p3.(2D*).4s      | 3D*     | 2    | 3s2.3p3.(2P*).4p       | 3P      | 1    |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          214.873     |          214.87747   |         8 |             |      |    27.91494375  -     33.6831235  | 3s2.3p3.(2D*).4p      | 3D      | 2    | 3s2.3p3.(2D*).4d       | 3P*     | 1    |       |                      |   L7492  |
Ar III    |          214.907     |          214.91158   |         3 |             |      |    27.91585928  -     33.6831235  | 3s2.3p3.(2D*).4p      | 3D      | 1    | 3s2.3p3.(2D*).4d       | 3P*     | 1    |       |                      |   L7492  |
Ar II     |          215.05367   |          215.053649  |         6 |             |      |    18.61594234  -     24.37939715 | 3s2.3p4.(3P).3d       | 2F      | 5/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          215.10518   |          215.105179  |       129 |             |      |    18.61594234  -     24.37801662 | 3s2.3p4.(3P).3d       | 2F      | 5/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          215.194     |          215.193403  |         0 |             |      |    18.45411386  -     24.21382608 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          215.30684   |          215.306849  |       120 |             |      |    19.26108400  -     25.01776175 | 3s2.3p4.(3P).4p       | 4P*     | 3/2  | 3s2.3p4.(3P).5d        | 4P      | 5/2  |       |                      |  L11520  |
Ar II     |          215.39813   |          215.398140  |        51 |             |      |    18.42654895  -     24.18078715 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          215.5588    |          215.559053  |         1 |             |      |    18.42654895  -     24.17649215 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar III    |          215.638     |          215.63583   |         3 |             |      |    27.91494375  -     33.6628398  | 3s2.3p3.(2D*).4p      | 3D      | 2    | 3s2.3p3.(2D*).4d       | 3P*     | 2    |       |                      |   L7492  |
Ar III    |          215.753     |          215.75668   |         3 |             |      |    24.37413212  -     30.118809   | 3s2.3p3.(2D*).4s      | 3D*     | 1    | 3s2.3p3.(2P*).4p       | 3P      | 0    |       |                      |   L7493  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          215.8755    |          215.875454  |         2 |             |      |    19.22290199  -     24.96441862 | 3s2.3p4.(3P).4p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 4F      | 5/2  |       |                      |  L14821  |
Ar II     |          215.88834   |          215.888321  |        25 |             |      |    18.06063973  -     23.80181422 | 3s2.3p4.(3P).3d       | 2P      | 3/2  | 3s2.3p4.(1S).4p        | 2P*     | 3/2  |       |                      |  L11520  |
Ar II     |          215.90494   |          215.904944  |        37 |             |      |    19.22290199  -     24.96363449 | 3s2.3p4.(3P).4p       | 4P*     | 5/2  | 3s2.3p4.(3P).5d        | 4P      | 3/2  |       |                      |  L11520  |
Ar II     |          216.18943   |          216.189413  |        20 |             |      |    18.42654895  -     24.15972844 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          216.22906   |          216.229030  |        11 |             |      |    17.94175095  -     23.67388014 | 3s2.3p4.(3P).3d       | 2P      | 1/2  | 3s2.3p4.(3P).5p        | 2S*     | 1/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          216.43506   |          216.435057  |        13 |             |      |    18.45411386  -     24.18078715 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          216.5039    |          216.50364   |         1 |             |      |    21.42814592  -     27.153005   | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(1D<2>).5f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          216.57875   |          216.578674  |        17 |             |      |    18.65652090  -     24.37939715 | 3s2.3p4.(3P).3d       | 2D      | 3/2  | 3s2.3p4.(3P<0>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          216.58188   |          216.581881  |       178 |             |      |    18.61594234  -     24.33873385 | 3s2.3p4.(3P).3d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar III    |          216.619     |          216.61851   |        15 |             |      |    25.3634414   -     31.0852653  | 3s2.3p3.(4S*).4p      | 5P      | 1    | 3s2.3p3.(4S*).5s       | 5S*     | 2    |       |                      |   L7492  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          216.82822   |          216.82817   |         8 |             |      |    27.94654792  -     33.6628398  | 3s2.3p3.(2D*).4p      | 3D      | 3    | 3s2.3p3.(2D*).4d       | 3P*     | 2    |       |                      |  L11520  |
Ar III    |          217.02217   |          217.02221   |         5 |             |      |    25.3740837   -     31.0852653  | 3s2.3p3.(4S*).4p      | 5P      | 2    | 3s2.3p3.(4S*).5s       | 5S*     | 2    |       |                      |  L11520  |
Ar II     |          217.0914    |          217.091351  |         1 |             |      |    17.69466466  -     23.40402740 | 3s2.3p4.(3P).3d       | 4F      | 7/2  | 3s2.3p4.(3P).5p        | 4P*     | 5/2  |       |                      |  L14821  |
Ar II     |          217.1038    |          217.103482  |         1 |             |      |    19.96749891  -     25.67654265 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(3P).7s        | 4P      | 5/2  |       |                      |  L14821  |
Ar II     |          217.13140   |          217.131395  |       105 |             |      |    18.45411386  -     24.16242376 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          217.14192   |          217.141913  |       107 |             |      |    20.24656508  -     25.95459851 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(1D<2>).4f     | 2[4]*   | 7/2  |       |                      |  L11520  |
Ar II     |          217.2341    |          217.233979  |         2 |             |      |    18.45411386  -     24.15972844 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          217.26353   |          217.263536  |        11 |             |      |    19.30534474  -     25.01018319 | 3s2.3p4.(3P).4p       | 4P*     | 1/2  | 3s2.3p4.(3P).5d        | 4F      | 3/2  |       |                      |  L11520  |
Ar II     |          217.3209    |          217.320830  |         1 |             |      |    19.26108400  -     24.96441862 | 3s2.3p4.(3P).4p       | 4P*     | 3/2  | 3s2.3p4.(3P).5d        | 4F      | 5/2  |       |                      |  L14821  |
Ar II     |          217.374     |          217.374264  |         0 |             |      |    19.64258190  -     25.3445147  | 3s2.3p4.(3P).4p       | 4D*     | 1/2  | 3s2.3p4.(3P).5d        | 2D      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          217.4190    |          217.419058  |      2bl? |             |      |    18.45411386  -     24.15487203 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[4]*   | 7/2  |       |                      |  L14821  |
Ar II     |          217.45839   |          217.458391  |       166 |             |      |    18.61594234  -     24.31566947 | 3s2.3p4.(3P).3d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[4]*   | 7/2  |       |                      |  L11520  |
Ar II     |          217.55048   |          217.550485  |        58 |             |      |    20.24656508  -     25.94387967 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(1D<2>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          217.56381   |          217.563802  |       813 |             |      |    18.49586888  -     24.19283478 | 3s2.3p4.(3P).3d       | 2F      | 7/2  | 3s2.3p4.(3P<2>).4f     | 2[5]*   | 9/2  |       |                      |  L11520  |
Ar II     |          217.59645   |          217.596446  |        20 |             |      |    18.61594234  -     24.31205364 | 3s2.3p4.(3P).3d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          217.6387    |          217.638998  |         1 |             |      |    17.74309086  -     23.43808861 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).5p        | 4P*     | 3/2  |       |                      |  L14821  |
Ar III    |          217.71971   |          217.71967   |         7 |             |      |    25.3923775   -     31.0852653  | 3s2.3p3.(4S*).4p      | 5P      | 3    | 3s2.3p3.(4S*).5s       | 5S*     | 2    |       |                      |  L11520  |
